method,step,val_macro_em
turn_ppo,0,0.2783236504373088
turn_ppo,25,0.35127415087094677
turn_ppo,50,0.35471639645692754
turn_ppo,75,0.3656571414684525
turn_ppo,100,0.3645078053077831
turn_ppo,125,0.3784207536157332
turn_ppo,150,0.3883230676935498
turn_ppo,175,0.3881154356624324
turn_ppo,200,0.3954633527646599
turn_ppo,225,0.3998305026893189
turn_ppo,250,0.40288347333283603
turn_ppo,275,0.4070988601903374
turn_ppo,300,0.3979470872526473
turn_ppo,325,0.3969457352148291
turn_ppo,350,0.39990229972258323
turn_ppo,375,0.42109227219245515
turn_ppo,400,0.41046495226794283
turn_ppo,425,0.41540792036868435
turn_ppo,450,0.41137932030848434
turn_ppo,475,0.42730885806034424
turn_ppo,500,0.42226911399517586
grpo,0,0.2783236504373088
grpo,25,0.3478778179588127
grpo,50,0.3687921184646378
grpo,75,0.38090740670429885
grpo,100,0.3766003503118175
grpo,125,0.4092536555195557
grpo,150,0.4202980239541166
grpo,175,0.43161587246667343
grpo,200,0.4318404727475386
grpo,225,0.42392001431288967
grpo,250,0.43728331336216414
grpo,275,0.4556712898236482
grpo,300,0.4600274934620483
grpo,325,0.4527099209073692
grpo,350,0.445492620331153
grpo,375,0.45476500501338174
grpo,400,0.4481303190272513
grpo,425,0.4549869482142737
grpo,450,0.45737416211785903
grpo,475,0.44152671033930274
grpo,500,0.4517745388259199
hcapo,0,0.2783236504373088
hcapo,25,0.35153158238500815
hcapo,50,0.36197786864946935
hcapo,75,0.37713584486993174
hcapo,100,0.4014642916663859
hcapo,125,0.4002198252855913
hcapo,150,0.41733835748497794
hcapo,175,0.41732923231632174
hcapo,200,0.4084478146547696
hcapo,225,0.37700734157794014
hcapo,250,0.385490405475244
hcapo,275,0.34039154479403855
hcapo,300,0.32862555388510273
hcapo,325,0.3892855471194278
hcapo,350,0.39694883385164664
hcapo,375,0.39543503045768513
hcapo,400,0.4164257329374837
hcapo,425,0.4050534816126712
hcapo,450,0.3969254290634639
hcapo,475,0.38997681775815024
hcapo,500,0.4055897322343549
hcapo_ans,0,0.2783236504373088
hcapo_ans,25,0.3462453554170263
hcapo_ans,50,0.34770725349042486
hcapo_ans,75,0.3631471601242455
hcapo_ans,100,0.38769966421200935
hcapo_ans,125,0.40736950303132524
hcapo_ans,150,0.4201822280771988
hcapo_ans,175,0.4247670768929816
hcapo_ans,200,0.4288265145876026
hcapo_ans,225,0.4352753553341141
hcapo_ans,250,0.43499205479333647
hcapo_ans,275,0.43766005611145953
hcapo_ans,300,0.430037635117494
hcapo_ans,325,0.3937369468608752
hcapo_ans,350,0.4170768059399353
hcapo_ans,375,0.43640129283384704
hcapo_ans,400,0.4329022856951858
hcapo_ans,425,0.4258578322096887
hcapo_ans,450,0.43289013992311365
hcapo_ans,475,0.43310205963535625
hcapo_ans,500,0.43433030106347764
