pos,info_gain,novel,progression,relevant,well_formed
0,0.21599999999999997,0.008000000000000007,0.0,0.10950000000000004,0.943
1,0.9954977488744372,0.9919959979989995,0.951975987993997,0.10705352676338165,0.9264632316158079
2,1.0,0.9989994997498749,0.9554777388694348,0.10655327663831915,0.9254627313656828
3,0.9994997498749375,0.9994997498749375,0.9554777388694348,0.10655327663831915,0.9254627313656828
4,0.9994997498749375,0.9989994997498749,0.9549774887443722,0.10655327663831915,0.9254627313656828
5,0.9989994997498749,0.9989994997498749,0.9554777388694348,0.10655327663831915,0.9244622311155578
6,1.0,1.0,0.9559779889944973,0.10655327663831915,0.9244622311155578
7,1.0,1.0,0.9559779889944973,0.10655327663831915,0.9244622311155578
8,1.0,1.0,0.9559779889944973,0.10655327663831915,0.9244622311155578
9,1.0,1.0,0.9559779889944973,0.10655327663831915,0.9244622311155578
