searches,issued,to_sufficiency
1,0.0005,0.9921985815602837
2,0.0,0.004964539007092199
3,0.0,0.0
4,0.0,0.0007092198581560284
5,0.0,0.0007092198581560284
6,0.0,0.0014184397163120568
7,0.0,0.0
8,0.0,0.0
9,0.0,0.0
10,0.0,0.0
11,0.001,0.0
12,0.003,0.0
13,0.007,0.0
14,0.0255,0.0
15,0.1045,0.0
16,0.2275,0.0
17,0.631,0.0
