signal,auc
mean_well_formed,0.4906837670941774
mean_progression,0.5583354583864597
fewer_searches,0.5601790044751119
mean_novel,0.5611765294132354
mean_relevant,0.5621805545138628
mean_info_gain,0.6882222055551389
p_final,0.7398904972624316
