pos,EM=0,EM=1
0,0.5245226130653267,0.903681592039801
1,0.5263581488933602,0.9082587064676616
2,0.5263581488933602,0.9082587064676616
3,0.5263581488933602,0.9092537313432836
4,0.5273641851106641,0.9092537313432836
5,0.5283702213279678,0.9102487562189054
6,0.5283702213279678,0.9102487562189054
7,0.5283702213279678,0.9102487562189054
8,0.5283702213279678,0.9102487562189054
9,0.5283702213279678,0.9102487562189054
