step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.009,0.266
2,,0.324,1.63,0.01,0.262
3,,0.324,1.654,0.017,0.26
4,,0.319,1.641,0.014,0.253
5,,0.342,1.642,0.017,0.275
6,,0.316,1.632,0.01,0.252
7,,0.335,1.641,0.007,0.266
8,,0.293,1.605,0.01,0.23
9,,0.319,1.648,0.024,0.26
10,,0.322,1.662,0.015,0.253
11,,0.332,1.68,0.018,0.261
12,,0.322,1.718,0.019,0.256
13,,0.311,1.729,0.015,0.238
14,,0.375,1.759,0.022,0.297
15,,0.369,1.784,0.01,0.291
16,,0.345,1.793,0.015,0.271
17,,0.389,1.873,0.012,0.296
18,,0.395,1.84,0.012,0.309
19,,0.438,1.885,0.011,0.337
20,,0.404,1.925,0.018,0.305
21,,0.442,1.964,0.014,0.34
22,,0.397,1.979,0.016,0.301
23,,0.407,1.964,0.014,0.306
24,,0.419,2.017,0.01,0.31
25,0.284,0.473,2.046,0.017,0.352
26,,0.43,2.045,0.011,0.32
27,,0.436,2.041,0.012,0.32
28,,0.415,2.091,0.012,0.306
29,,0.449,2.084,0.015,0.336
30,,0.422,2.106,0.014,0.303
31,,0.404,2.096,0.01,0.3
32,,0.435,2.119,0.024,0.327
33,,0.448,2.141,0.014,0.338
34,,0.478,2.148,0.013,0.362
35,,0.446,2.138,0.009,0.333
36,,0.469,2.166,0.015,0.35
37,,0.5,2.19,0.02,0.38
38,,0.457,2.204,0.016,0.341
39,,0.438,2.238,0.014,0.332
40,,0.465,2.23,0.016,0.352
41,,0.459,2.251,0.011,0.345
42,,0.504,2.24,0.01,0.384
43,,0.45,2.333,0.025,0.338
44,,0.518,2.282,0.016,0.396
45,,0.464,2.32,0.018,0.35
46,,0.519,2.374,0.022,0.392
47,,0.451,2.34,0.017,0.336
48,,0.413,2.388,0.014,0.302
49,,0.452,2.39,0.026,0.334
50,0.308,0.461,2.46,0.026,0.345
51,,0.497,2.349,0.018,0.373
52,,0.532,2.42,0.024,0.405
53,,0.461,2.457,0.027,0.349
54,,0.482,2.358,0.026,0.365
55,,0.514,2.385,0.027,0.39
56,,0.478,2.478,0.024,0.352
57,,0.497,2.416,0.026,0.369
58,,0.533,2.384,0.015,0.41
59,,0.475,2.441,0.02,0.353
60,,0.469,2.427,0.025,0.351
61,,0.507,2.396,0.026,0.378
62,,0.53,2.434,0.036,0.397
63,,0.493,2.463,0.025,0.366
64,,0.45,2.559,0.027,0.332
65,,0.532,2.52,0.027,0.412
66,,0.52,2.482,0.022,0.388
67,,0.466,2.606,0.027,0.348
68,,0.494,2.557,0.036,0.361
69,,0.528,2.462,0.021,0.402
70,,0.485,2.592,0.035,0.363
71,,0.552,2.555,0.034,0.42
72,,0.516,2.621,0.034,0.396
73,,0.496,2.601,0.027,0.369
74,,0.506,2.579,0.028,0.379
75,0.308,0.488,2.695,0.038,0.362
76,,0.538,2.604,0.021,0.401
77,,0.466,2.724,0.032,0.348
78,,0.493,2.646,0.03,0.365
79,,0.497,2.655,0.026,0.38
80,,0.451,2.633,0.031,0.324
81,,0.511,2.645,0.034,0.384
82,,0.565,2.571,0.02,0.426
83,,0.492,2.641,0.029,0.362
84,,0.472,2.591,0.032,0.349
85,,0.511,2.687,0.047,0.38
86,,0.488,2.626,0.034,0.366
87,,0.48,2.673,0.035,0.355
88,,0.54,2.606,0.022,0.407
89,,0.502,2.69,0.03,0.372
90,,0.52,2.701,0.025,0.389
91,,0.487,2.658,0.029,0.367
92,,0.498,2.595,0.022,0.372
93,,0.545,2.608,0.027,0.41
94,,0.468,2.691,0.036,0.342
95,,0.518,2.725,0.034,0.396
96,,0.524,2.631,0.03,0.391
97,,0.577,2.541,0.026,0.441
98,,0.472,2.743,0.029,0.341
99,,0.559,2.702,0.026,0.426
100,0.311,0.5,2.735,0.041,0.373
101,,0.513,2.676,0.033,0.376
102,,0.538,2.81,0.022,0.406
103,,0.507,2.825,0.029,0.378
104,,0.538,2.735,0.032,0.409
105,,0.525,2.791,0.027,0.396
106,,0.49,2.731,0.034,0.365
107,,0.554,2.695,0.021,0.422
108,,0.545,2.717,0.029,0.41
109,,0.553,2.706,0.032,0.423
110,,0.517,2.717,0.034,0.39
111,,0.531,2.662,0.025,0.394
112,,0.561,2.662,0.026,0.424
113,,0.536,2.692,0.026,0.391
114,,0.474,2.735,0.026,0.35
115,,0.514,2.646,0.026,0.389
116,,0.48,2.741,0.031,0.359
117,,0.55,2.653,0.022,0.412
118,,0.498,2.749,0.023,0.38
119,,0.499,2.745,0.026,0.371
120,,0.508,2.677,0.027,0.373
121,,0.497,2.712,0.024,0.373
122,,0.469,2.705,0.018,0.344
123,,0.516,2.721,0.024,0.393
124,,0.48,2.705,0.02,0.352
125,0.331,0.484,2.748,0.028,0.355
126,,0.502,2.719,0.019,0.376
127,,0.549,2.705,0.026,0.416
128,,0.556,2.573,0.02,0.418
129,,0.515,2.776,0.032,0.388
130,,0.601,2.667,0.016,0.468
131,,0.545,2.672,0.021,0.41
132,,0.518,2.659,0.027,0.391
133,,0.565,2.648,0.027,0.423
134,,0.544,2.61,0.027,0.405
135,,0.518,2.712,0.021,0.393
136,,0.542,2.699,0.027,0.412
137,,0.493,2.787,0.03,0.358
138,,0.505,2.714,0.024,0.37
139,,0.518,2.693,0.027,0.383
140,,0.501,2.745,0.022,0.373
141,,0.588,2.702,0.026,0.452
142,,0.529,2.718,0.02,0.395
143,,0.603,2.725,0.026,0.458
144,,0.536,2.659,0.02,0.402
145,,0.554,2.643,0.017,0.412
146,,0.505,2.723,0.025,0.374
147,,0.565,2.757,0.022,0.429
148,,0.541,2.662,0.024,0.402
149,,0.565,2.701,0.022,0.433
150,0.334,0.586,2.648,0.014,0.445
151,,0.535,2.615,0.027,0.403
152,,0.497,2.695,0.019,0.372
153,,0.569,2.615,0.022,0.438
154,,0.563,2.673,0.022,0.42
155,,0.523,2.629,0.02,0.398
156,,0.548,2.653,0.021,0.419
157,,0.576,2.616,0.019,0.436
158,,0.581,2.543,0.017,0.441
159,,0.506,2.584,0.018,0.375
160,,0.46,2.683,0.025,0.343
161,,0.551,2.621,0.026,0.42
162,,0.518,2.557,0.023,0.387
163,,0.545,2.529,0.022,0.411
164,,0.547,2.51,0.025,0.411
165,,0.562,2.474,0.03,0.427
166,,0.506,2.53,0.026,0.384
167,,0.536,2.453,0.025,0.396
168,,0.55,2.501,0.021,0.417
169,,0.553,2.441,0.015,0.419
170,,0.545,2.44,0.017,0.402
171,,0.528,2.466,0.027,0.401
172,,0.511,2.47,0.026,0.39
173,,0.529,2.498,0.025,0.403
174,,0.524,2.536,0.021,0.391
175,0.339,0.515,2.548,0.027,0.382
176,,0.48,2.57,0.026,0.352
177,,0.541,2.598,0.021,0.408
178,,0.526,2.568,0.026,0.397
179,,0.545,2.559,0.02,0.409
180,,0.498,2.6,0.035,0.376
181,,0.595,2.527,0.03,0.454
182,,0.506,2.518,0.026,0.383
183,,0.523,2.527,0.035,0.398
184,,0.587,2.438,0.026,0.445
185,,0.512,2.476,0.031,0.384
186,,0.547,2.44,0.018,0.416
187,,0.544,2.459,0.027,0.417
188,,0.506,2.46,0.025,0.377
189,,0.531,2.486,0.022,0.397
190,,0.58,2.498,0.019,0.441
191,,0.585,2.549,0.022,0.444
192,,0.489,2.58,0.029,0.362
193,,0.542,2.56,0.02,0.411
194,,0.547,2.499,0.02,0.411
195,,0.546,2.559,0.028,0.423
196,,0.565,2.531,0.028,0.438
197,,0.558,2.505,0.024,0.43
198,,0.548,2.491,0.026,0.419
199,,0.543,2.46,0.018,0.409
200,0.344,0.503,2.497,0.021,0.371
201,,0.547,2.531,0.027,0.411
202,,0.486,2.612,0.026,0.359
203,,0.491,2.742,0.034,0.356
204,,0.522,2.653,0.024,0.382
205,,0.496,2.672,0.023,0.372
206,,0.612,2.641,0.019,0.47
207,,0.499,2.706,0.025,0.372
208,,0.555,2.594,0.027,0.417
