step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.009,0.266
2,,0.324,1.63,0.012,0.262
3,,0.326,1.665,0.013,0.261
4,,0.329,1.659,0.012,0.259
5,,0.312,1.63,0.019,0.248
6,,0.316,1.609,0.007,0.252
7,,0.309,1.654,0.009,0.243
8,,0.291,1.615,0.008,0.226
9,,0.308,1.656,0.023,0.252
10,,0.313,1.645,0.016,0.248
11,,0.323,1.653,0.018,0.257
12,,0.326,1.712,0.01,0.259
13,,0.331,1.733,0.012,0.255
14,,0.349,1.715,0.021,0.277
15,,0.357,1.747,0.014,0.285
16,,0.344,1.769,0.012,0.274
17,,0.378,1.823,0.019,0.292
18,,0.38,1.791,0.008,0.301
19,,0.412,1.793,0.013,0.323
20,,0.39,1.87,0.018,0.298
21,,0.434,1.919,0.013,0.334
22,,0.391,1.966,0.013,0.296
23,,0.403,1.945,0.013,0.302
24,,0.42,1.97,0.008,0.316
25,0.297,0.478,2.017,0.012,0.361
26,,0.444,2.041,0.009,0.333
27,,0.436,2.047,0.011,0.32
28,,0.432,2.11,0.01,0.326
29,,0.44,2.092,0.02,0.33
30,,0.434,2.119,0.018,0.315
31,,0.424,2.12,0.013,0.317
32,,0.444,2.134,0.023,0.338
33,,0.441,2.155,0.015,0.331
34,,0.475,2.162,0.016,0.361
35,,0.462,2.164,0.007,0.346
36,,0.457,2.17,0.016,0.338
37,,0.475,2.184,0.012,0.355
38,,0.465,2.24,0.019,0.35
39,,0.436,2.28,0.022,0.329
40,,0.465,2.28,0.021,0.351
41,,0.461,2.289,0.008,0.35
42,,0.499,2.291,0.014,0.378
43,,0.451,2.412,0.032,0.339
44,,0.527,2.371,0.015,0.404
45,,0.469,2.377,0.017,0.354
46,,0.534,2.393,0.019,0.407
47,,0.441,2.398,0.022,0.327
48,,0.418,2.371,0.02,0.309
49,,0.443,2.388,0.016,0.327
50,0.303,0.438,2.495,0.022,0.323
51,,0.498,2.382,0.018,0.375
52,,0.514,2.455,0.025,0.386
53,,0.455,2.517,0.02,0.343
54,,0.471,2.427,0.028,0.357
55,,0.513,2.42,0.023,0.388
56,,0.45,2.612,0.027,0.323
57,,0.496,2.54,0.024,0.367
58,,0.527,2.473,0.016,0.403
59,,0.468,2.508,0.018,0.347
60,,0.457,2.541,0.023,0.335
61,,0.506,2.537,0.023,0.377
62,,0.525,2.588,0.03,0.391
63,,0.498,2.705,0.018,0.37
64,,0.452,2.726,0.025,0.331
65,,0.518,2.756,0.021,0.398
66,,0.499,2.62,0.018,0.369
67,,0.458,2.75,0.016,0.34
68,,0.477,2.708,0.026,0.344
69,,0.525,2.648,0.013,0.396
70,,0.479,2.758,0.021,0.358
71,,0.544,2.716,0.025,0.41
72,,0.521,2.791,0.028,0.397
73,,0.511,2.743,0.02,0.382
74,,0.488,2.744,0.024,0.365
75,0.31,0.505,2.815,0.02,0.378
76,,0.516,2.716,0.018,0.384
77,,0.466,2.835,0.022,0.345
78,,0.482,2.816,0.02,0.355
79,,0.504,2.781,0.014,0.38
80,,0.452,2.78,0.016,0.323
81,,0.522,2.79,0.02,0.392
82,,0.572,2.735,0.02,0.431
83,,0.473,2.793,0.015,0.344
84,,0.489,2.797,0.02,0.362
85,,0.515,2.885,0.017,0.38
86,,0.497,2.805,0.015,0.373
87,,0.475,2.838,0.02,0.346
88,,0.538,2.759,0.012,0.403
89,,0.505,2.807,0.017,0.375
90,,0.52,2.89,0.016,0.391
91,,0.488,2.909,0.017,0.366
92,,0.51,2.859,0.017,0.377
93,,0.546,2.865,0.016,0.409
94,,0.458,2.968,0.017,0.332
95,,0.505,2.916,0.018,0.384
96,,0.508,2.917,0.015,0.373
97,,0.583,2.741,0.013,0.444
98,,0.467,2.909,0.02,0.337
99,,0.549,2.805,0.015,0.415
100,0.322,0.488,2.949,0.018,0.357
101,,0.514,2.901,0.011,0.373
102,,0.533,2.959,0.014,0.402
103,,0.482,3.073,0.016,0.354
104,,0.537,3.078,0.016,0.406
105,,0.512,3.042,0.009,0.384
106,,0.477,2.963,0.014,0.352
107,,0.546,3.045,0.012,0.412
108,,0.534,3.094,0.019,0.398
109,,0.548,3.091,0.013,0.414
110,,0.515,3.108,0.017,0.384
111,,0.513,3.151,0.013,0.373
112,,0.542,3.058,0.013,0.402
113,,0.522,3.143,0.014,0.379
114,,0.458,3.2,0.012,0.33
115,,0.507,3.238,0.013,0.377
116,,0.473,3.3,0.016,0.352
117,,0.543,3.188,0.009,0.405
118,,0.512,3.347,0.012,0.387
119,,0.51,3.333,0.016,0.38
120,,0.528,3.35,0.019,0.384
121,,0.47,3.396,0.015,0.343
122,,0.484,3.434,0.01,0.355
123,,0.519,3.521,0.016,0.391
124,,0.467,3.503,0.015,0.334
125,0.329,0.484,3.428,0.016,0.352
126,,0.513,3.368,0.011,0.379
127,,0.546,3.429,0.01,0.41
128,,0.565,3.398,0.013,0.423
129,,0.5,3.534,0.016,0.368
130,,0.568,3.469,0.007,0.434
131,,0.542,3.466,0.014,0.405
132,,0.482,3.51,0.013,0.352
133,,0.558,3.499,0.014,0.412
134,,0.547,3.468,0.009,0.407
135,,0.501,3.556,0.008,0.371
136,,0.547,3.534,0.012,0.415
137,,0.492,3.555,0.013,0.355
138,,0.512,3.57,0.011,0.37
139,,0.527,3.467,0.009,0.388
140,,0.507,3.429,0.01,0.377
141,,0.596,3.401,0.015,0.454
142,,0.514,3.44,0.012,0.379
143,,0.586,3.388,0.013,0.439
144,,0.532,3.42,0.015,0.395
145,,0.556,3.339,0.008,0.414
146,,0.501,3.502,0.013,0.366
147,,0.572,3.462,0.011,0.43
148,,0.528,3.491,0.008,0.39
149,,0.546,3.502,0.012,0.411
150,0.342,0.586,3.551,0.012,0.436
151,,0.53,3.459,0.011,0.397
152,,0.472,3.445,0.013,0.345
153,,0.579,3.462,0.009,0.444
154,,0.542,3.491,0.015,0.401
155,,0.514,3.476,0.013,0.384
156,,0.544,3.413,0.011,0.412
157,,0.584,3.411,0.008,0.442
158,,0.582,3.354,0.012,0.445
159,,0.5,3.383,0.014,0.366
160,,0.453,3.474,0.016,0.334
161,,0.569,3.486,0.013,0.43
162,,0.533,3.434,0.008,0.398
163,,0.532,3.458,0.008,0.397
164,,0.552,3.474,0.012,0.412
165,,0.588,3.398,0.014,0.447
166,,0.503,3.457,0.01,0.377
167,,0.517,3.459,0.008,0.375
168,,0.556,3.412,0.014,0.42
169,,0.544,3.403,0.012,0.407
170,,0.55,3.398,0.012,0.405
171,,0.555,3.457,0.008,0.424
172,,0.525,3.479,0.009,0.396
173,,0.547,3.401,0.009,0.417
174,,0.537,3.491,0.007,0.398
175,0.346,0.523,3.46,0.008,0.386
176,,0.463,3.372,0.009,0.329
177,,0.524,3.347,0.005,0.385
178,,0.518,3.37,0.006,0.384
179,,0.561,3.398,0.006,0.419
180,,0.506,3.434,0.009,0.38
181,,0.607,3.32,0.004,0.464
182,,0.529,3.357,0.005,0.399
183,,0.523,3.356,0.01,0.396
184,,0.607,3.374,0.009,0.461
185,,0.537,3.388,0.005,0.403
186,,0.571,3.291,0.004,0.439
187,,0.548,3.289,0.008,0.416
188,,0.56,3.321,0.007,0.42
189,,0.557,3.312,0.006,0.416
190,,0.614,3.413,0.003,0.468
191,,0.599,3.394,0.006,0.453
192,,0.507,3.415,0.006,0.377
193,,0.568,3.394,0.006,0.429
194,,0.528,3.459,0.005,0.39
195,,0.526,3.53,0.004,0.396
196,,0.537,3.529,0.005,0.403
197,,0.55,3.488,0.004,0.417
198,,0.575,3.509,0.004,0.439
199,,0.538,3.552,0.005,0.402
200,0.347,0.488,3.524,0.004,0.352
201,,0.562,3.478,0.005,0.423
202,,0.505,3.609,0.007,0.37
203,,0.488,3.627,0.008,0.348
204,,0.52,3.575,0.005,0.379
205,,0.496,3.646,0.004,0.369
206,,0.611,3.606,0.003,0.464
207,,0.487,3.711,0.006,0.353
208,,0.524,3.688,0.005,0.385
