step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.009,0.266
2,,0.324,1.63,0.011,0.262
3,,0.323,1.686,0.014,0.257
4,,0.325,1.647,0.011,0.256
5,,0.321,1.632,0.017,0.255
6,,0.344,1.641,0.009,0.277
7,,0.308,1.64,0.013,0.244
8,,0.3,1.628,0.011,0.235
9,,0.306,1.631,0.017,0.248
10,,0.332,1.636,0.01,0.265
11,,0.34,1.666,0.018,0.266
12,,0.32,1.721,0.01,0.255
13,,0.321,1.733,0.014,0.248
14,,0.365,1.731,0.013,0.291
15,,0.365,1.742,0.009,0.291
16,,0.345,1.765,0.009,0.273
17,,0.364,1.83,0.011,0.275
18,,0.371,1.82,0.011,0.287
19,,0.453,1.836,0.01,0.358
20,,0.397,1.889,0.019,0.303
21,,0.446,1.938,0.013,0.345
22,,0.409,1.97,0.021,0.315
23,,0.418,1.98,0.018,0.315
24,,0.419,2.014,0.012,0.309
25,0.294,0.471,2.029,0.018,0.355
26,,0.446,2.037,0.016,0.338
27,,0.459,2.047,0.015,0.341
28,,0.421,2.089,0.013,0.314
29,,0.446,2.077,0.011,0.337
30,,0.432,2.091,0.01,0.314
31,,0.425,2.084,0.006,0.32
32,,0.427,2.116,0.02,0.32
33,,0.454,2.117,0.01,0.344
34,,0.475,2.137,0.01,0.36
35,,0.454,2.135,0.007,0.342
36,,0.465,2.148,0.013,0.346
37,,0.487,2.182,0.016,0.366
38,,0.457,2.227,0.017,0.34
39,,0.441,2.235,0.012,0.334
40,,0.44,2.209,0.013,0.328
41,,0.449,2.253,0.01,0.336
42,,0.506,2.239,0.01,0.388
43,,0.451,2.311,0.024,0.338
44,,0.522,2.264,0.011,0.399
45,,0.479,2.278,0.017,0.363
46,,0.521,2.358,0.015,0.397
47,,0.443,2.353,0.012,0.329
48,,0.415,2.38,0.008,0.306
49,,0.452,2.373,0.011,0.334
50,0.316,0.464,2.473,0.014,0.348
51,,0.482,2.36,0.012,0.363
52,,0.502,2.463,0.014,0.378
53,,0.457,2.534,0.018,0.345
54,,0.469,2.438,0.024,0.353
55,,0.516,2.421,0.015,0.389
56,,0.475,2.528,0.014,0.348
57,,0.508,2.494,0.02,0.379
58,,0.513,2.441,0.011,0.392
59,,0.481,2.54,0.012,0.359
60,,0.463,2.52,0.013,0.342
61,,0.508,2.527,0.016,0.377
62,,0.514,2.57,0.019,0.38
63,,0.51,2.645,0.012,0.381
64,,0.455,2.74,0.014,0.335
65,,0.528,2.719,0.013,0.408
66,,0.528,2.612,0.012,0.391
67,,0.458,2.73,0.013,0.34
68,,0.497,2.691,0.014,0.362
69,,0.543,2.616,0.01,0.414
70,,0.498,2.724,0.014,0.375
71,,0.548,2.716,0.018,0.417
72,,0.527,2.75,0.017,0.403
73,,0.507,2.745,0.011,0.378
74,,0.481,2.711,0.011,0.357
75,0.317,0.488,2.766,0.012,0.365
76,,0.528,2.73,0.009,0.393
77,,0.469,2.866,0.012,0.349
78,,0.476,2.82,0.009,0.349
79,,0.506,2.809,0.012,0.384
80,,0.471,2.741,0.008,0.342
81,,0.524,2.764,0.013,0.392
82,,0.58,2.787,0.008,0.439
83,,0.486,2.914,0.011,0.353
84,,0.47,2.894,0.006,0.343
85,,0.52,2.963,0.011,0.384
86,,0.505,2.953,0.009,0.374
87,,0.495,2.987,0.013,0.364
88,,0.528,3.116,0.009,0.391
89,,0.49,3.127,0.009,0.359
90,,0.513,3.199,0.008,0.38
91,,0.49,3.232,0.012,0.364
92,,0.5,3.366,0.009,0.366
93,,0.524,3.358,0.008,0.388
94,,0.466,3.445,0.012,0.333
95,,0.512,3.42,0.011,0.384
96,,0.504,3.439,0.007,0.369
97,,0.584,3.366,0.012,0.439
98,,0.481,3.429,0.011,0.345
99,,0.538,3.423,0.009,0.402
100,0.327,0.504,3.356,0.009,0.37
101,,0.517,3.39,0.006,0.374
102,,0.523,3.388,0.008,0.388
103,,0.5,3.355,0.008,0.37
104,,0.551,3.291,0.011,0.417
105,,0.52,3.3,0.009,0.391
106,,0.499,3.273,0.012,0.371
107,,0.557,3.275,0.009,0.42
108,,0.535,3.312,0.013,0.397
109,,0.564,3.309,0.013,0.427
110,,0.53,3.27,0.009,0.398
111,,0.531,3.293,0.01,0.388
112,,0.55,3.284,0.006,0.41
113,,0.509,3.337,0.011,0.366
114,,0.463,3.323,0.009,0.335
115,,0.509,3.369,0.011,0.378
116,,0.489,3.335,0.007,0.365
117,,0.551,3.331,0.007,0.412
118,,0.484,3.378,0.009,0.362
119,,0.51,3.335,0.014,0.381
120,,0.542,3.236,0.009,0.402
121,,0.495,3.275,0.009,0.37
122,,0.479,3.27,0.009,0.348
123,,0.519,3.263,0.009,0.393
124,,0.495,3.229,0.005,0.361
125,0.342,0.501,3.255,0.008,0.372
126,,0.517,3.236,0.005,0.386
127,,0.555,3.205,0.008,0.418
128,,0.543,3.166,0.008,0.404
129,,0.51,3.268,0.012,0.382
130,,0.606,3.226,0.005,0.474
131,,0.552,3.202,0.011,0.419
132,,0.511,3.189,0.012,0.386
133,,0.56,3.173,0.012,0.417
134,,0.558,3.175,0.006,0.421
135,,0.504,3.204,0.008,0.377
136,,0.544,3.218,0.013,0.416
137,,0.495,3.284,0.012,0.358
138,,0.528,3.263,0.006,0.388
139,,0.531,3.243,0.011,0.392
140,,0.51,3.287,0.012,0.38
141,,0.605,3.275,0.007,0.463
142,,0.53,3.346,0.012,0.393
143,,0.578,3.329,0.01,0.431
144,,0.525,3.295,0.009,0.388
145,,0.554,3.389,0.009,0.409
146,,0.497,3.52,0.007,0.362
147,,0.575,3.444,0.01,0.434
148,,0.539,3.402,0.005,0.404
149,,0.552,3.422,0.007,0.416
150,0.34,0.597,3.454,0.007,0.449
151,,0.525,3.401,0.011,0.392
152,,0.516,3.448,0.006,0.387
153,,0.582,3.364,0.005,0.442
154,,0.534,3.414,0.01,0.391
155,,0.515,3.487,0.008,0.389
156,,0.556,3.463,0.008,0.423
157,,0.58,3.427,0.004,0.435
158,,0.574,3.51,0.007,0.432
159,,0.502,3.55,0.005,0.366
160,,0.473,3.57,0.005,0.352
161,,0.556,3.482,0.004,0.42
162,,0.519,3.479,0.006,0.384
163,,0.553,3.459,0.005,0.413
164,,0.542,3.572,0.006,0.401
165,,0.577,3.431,0.005,0.438
166,,0.505,3.624,0.003,0.38
167,,0.536,3.797,0.002,0.391
168,,0.541,3.848,0.006,0.402
169,,0.532,3.87,0.004,0.392
170,,0.534,3.888,0.004,0.385
171,,0.55,3.874,0.003,0.417
172,,0.493,3.899,0.003,0.366
173,,0.532,3.843,0.003,0.397
174,,0.529,3.921,0.003,0.389
175,0.314,0.509,3.944,0.004,0.372
176,,0.463,3.964,0.003,0.331
177,,0.506,3.977,0.003,0.367
178,,0.491,3.973,0.003,0.361
179,,0.54,3.956,0.003,0.398
180,,0.482,3.963,0.002,0.355
181,,0.602,3.954,0.004,0.455
182,,0.503,3.952,0.004,0.376
183,,0.511,3.959,0.005,0.381
184,,0.591,3.969,0.004,0.444
185,,0.527,3.991,0.003,0.391
186,,0.545,3.971,0.001,0.412
187,,0.527,3.981,0.001,0.394
188,,0.554,3.961,0.003,0.412
189,,0.542,3.967,0.003,0.402
190,,0.586,3.97,0.001,0.441
191,,0.58,3.974,0.002,0.434
192,,0.481,3.985,0.003,0.348
193,,0.566,3.987,0.001,0.425
194,,0.522,3.983,0.001,0.385
195,,0.541,3.947,0.0,0.411
196,,0.528,3.96,0.001,0.398
197,,0.575,3.909,0.002,0.443
198,,0.563,3.963,0.001,0.43
199,,0.532,3.98,0.002,0.394
200,0.342,0.49,3.993,0.001,0.353
201,,0.535,3.979,0.002,0.396
202,,0.478,3.948,0.001,0.348
203,,0.491,3.956,0.002,0.35
204,,0.541,3.98,0.002,0.399
205,,0.515,3.979,0.001,0.384
206,,0.603,3.991,0.001,0.454
207,,0.483,3.984,0.001,0.353
208,,0.54,3.994,0.004,0.399
