task_type,gigpo,grpo,hcapo_buggy,hcapo_paper,token_ppo,turn_ppo
cool,1.0,1.0,1.0,1.0,0.2916666666666667,1.0
pick_place,0.9714285714285714,0.8,0.8571428571428571,0.8857142857142857,0.8857142857142857,0.9714285714285714
examine,0.8947368421052632,0.8947368421052632,0.42105263157894735,0.7894736842105263,1.0,1.0
clean,0.9,0.8,0.7333333333333333,0.7,0.8333333333333334,0.8666666666666667
heat,1.0,0.9230769230769231,0.9230769230769231,0.7692307692307693,0.6153846153846154,1.0
pick_two,1.0,1.0,0.7692307692307693,0.3076923076923077,0.9230769230769231,1.0
