method,nq,triviaqa,popqa,hotpotqa,2wikimultihopqa,musique,bamboogle,macro_em,micro_em
floor,0.2916897506925208,0.5170158225050826,0.34583304128408215,0.27089804186360567,0.33142493638676845,0.07447248655357881,0.36,0.3130477256122341,0.3526192640148512
grpo,0.4900277008310249,0.6448333775302749,0.48160089717529964,0.45928426738690076,0.4642175572519084,0.1882498965659909,0.512,0.462887670963057,0.4968383191847311
turn_ppo,0.47340720221606647,0.637761866878812,0.4721385014368823,0.40864280891289667,0.4190521628498728,0.14191146048820852,0.368,0.4172734289689627,0.47077137276893627
hcapo_paper,0.45457063711911355,0.6089454609741006,0.4494287516646807,0.39689399054692776,0.3954357506361323,0.15928837401737692,0.408,0.4103661378511902,0.45037031307408193
hcapo_ans,0.48005540166204985,0.6404136833731106,0.4663208803532628,0.42930452397029034,0.4461673027989822,0.17790649565577163,0.44,0.44002404111620963,0.48161970877729005
hcapo_lift,0.4490304709141274,0.6212322107310174,0.4745216233265578,0.42241728561782577,0.40497773536895676,0.1696317749275962,0.464,0.42940158584086874,0.46618838589909695
hcapo_lift_ans,0.4548476454293629,0.6363475647485194,0.471367491413752,0.43038487508440243,0.42954834605597964,0.1452213487794787,0.392,0.4228167530730707,0.474832247210566
