step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.522,2.651,0.006,0.397
167,,0.543,2.57,0.005,0.403
168,,0.566,2.641,0.006,0.432
169,,0.572,2.597,0.005,0.433
170,,0.564,2.628,0.005,0.419
171,,0.556,2.613,0.004,0.426
172,,0.499,2.645,0.006,0.373
173,,0.536,2.641,0.005,0.407
174,,0.539,2.686,0.004,0.405
175,0.337,0.521,2.72,0.004,0.381
176,,0.485,2.692,0.004,0.352
177,,0.513,2.836,0.004,0.376
178,,0.509,2.819,0.005,0.378
179,,0.556,2.796,0.002,0.416
180,,0.496,2.791,0.004,0.368
181,,0.615,2.748,0.003,0.471
182,,0.517,2.787,0.002,0.385
183,,0.534,2.858,0.006,0.403
184,,0.613,2.807,0.006,0.465
185,,0.538,2.945,0.004,0.402
186,,0.583,2.84,0.002,0.449
187,,0.553,2.93,0.003,0.417
188,,0.55,2.992,0.003,0.41
189,,0.541,3.023,0.004,0.404
190,,0.613,3.084,0.004,0.466
191,,0.606,3.084,0.005,0.457
192,,0.495,3.082,0.004,0.364
193,,0.557,3.128,0.003,0.415
194,,0.541,3.127,0.002,0.402
195,,0.53,3.035,0.002,0.401
196,,0.552,2.981,0.003,0.419
197,,0.58,3.062,0.005,0.445
198,,0.56,2.991,0.002,0.423
199,,0.554,3.034,0.0,0.416
200,0.336,0.502,3.027,0.002,0.364
201,,0.556,2.971,0.005,0.414
202,,0.484,3.015,0.004,0.353
203,,0.52,2.952,0.004,0.377
204,,0.554,2.86,0.002,0.409
205,,0.526,2.941,0.004,0.395
206,,0.604,2.806,0.003,0.456
207,,0.515,2.938,0.003,0.382
208,,0.553,2.89,0.004,0.412
209,,0.62,3.026,0.002,0.474
210,,0.543,3.025,0.004,0.409
211,,0.533,3.077,0.005,0.403
212,,0.575,2.996,0.002,0.43
213,,0.603,3.03,0.004,0.455
214,,0.545,3.113,0.004,0.409
215,,0.549,3.0,0.002,0.408
216,,0.516,3.05,0.003,0.375
217,,0.523,3.037,0.003,0.374
218,,0.574,3.089,0.003,0.436
219,,0.575,3.114,0.002,0.43
220,,0.516,3.088,0.002,0.383
221,,0.573,3.227,0.002,0.426
222,,0.559,3.25,0.003,0.43
223,,0.598,3.234,0.002,0.453
224,,0.534,3.249,0.003,0.399
225,0.355,0.573,3.222,0.003,0.438
226,,0.539,3.108,0.007,0.398
227,,0.551,3.104,0.005,0.408
228,,0.549,3.152,0.004,0.405
229,,0.574,3.107,0.002,0.437
230,,0.596,3.091,0.004,0.452
231,,0.566,3.079,0.003,0.43
232,,0.61,3.1,0.002,0.47
233,,0.491,3.013,0.004,0.36
234,,0.631,2.964,0.005,0.491
235,,0.526,3.1,0.002,0.392
236,,0.57,3.057,0.003,0.42
237,,0.615,3.103,0.004,0.474
238,,0.574,3.08,0.004,0.435
239,,0.56,3.111,0.002,0.424
240,,0.576,3.077,0.005,0.436
241,,0.537,3.088,0.004,0.404
242,,0.583,3.096,0.008,0.437
243,,0.594,3.113,0.004,0.452
244,,0.48,3.128,0.003,0.355
245,,0.596,3.122,0.003,0.452
246,,0.564,3.14,0.005,0.421
247,,0.553,3.166,0.006,0.42
248,,0.539,3.182,0.007,0.395
249,,0.525,3.125,0.005,0.399
250,0.353,0.575,3.123,0.002,0.431
251,,0.616,3.142,0.007,0.466
252,,0.569,3.184,0.005,0.436
253,,0.617,3.138,0.006,0.476
254,,0.543,3.123,0.004,0.4
255,,0.563,3.133,0.003,0.427
256,,0.527,3.169,0.005,0.394
257,,0.565,3.221,0.006,0.43
258,,0.541,3.145,0.004,0.404
259,,0.632,3.163,0.008,0.48
260,,0.522,3.172,0.008,0.393
261,,0.603,3.099,0.006,0.462
262,,0.606,3.152,0.009,0.463
263,,0.563,3.112,0.004,0.419
264,,0.533,3.136,0.006,0.405
265,,0.537,3.159,0.006,0.406
266,,0.496,3.091,0.006,0.363
267,,0.573,3.095,0.012,0.43
268,,0.576,3.033,0.005,0.436
269,,0.573,3.019,0.005,0.438
270,,0.541,3.073,0.01,0.408
271,,0.594,3.022,0.008,0.451
272,,0.494,3.031,0.007,0.358
273,,0.549,3.07,0.009,0.411
274,,0.583,3.033,0.008,0.444
275,0.357,0.534,3.032,0.006,0.4
276,,0.578,2.979,0.005,0.432
277,,0.555,3.034,0.009,0.42
278,,0.539,3.051,0.008,0.411
279,,0.535,3.109,0.008,0.402
280,,0.545,3.167,0.007,0.409
281,,0.616,3.178,0.008,0.473
282,,0.575,3.166,0.006,0.429
283,,0.572,3.247,0.01,0.435
284,,0.567,3.248,0.009,0.427
285,,0.585,3.251,0.009,0.441
286,,0.601,3.238,0.01,0.448
287,,0.585,3.244,0.013,0.444
288,,0.555,3.272,0.01,0.42
289,,0.542,3.266,0.018,0.412
290,,0.511,3.227,0.013,0.38
291,,0.563,3.245,0.013,0.42
292,,0.579,3.195,0.011,0.438
293,,0.614,3.221,0.013,0.475
294,,0.607,3.241,0.016,0.464
295,,0.605,3.246,0.013,0.459
296,,0.55,3.285,0.018,0.415
297,,0.563,3.263,0.018,0.426
298,,0.536,3.276,0.018,0.402
299,,0.616,3.241,0.017,0.462
300,0.355,0.578,3.302,0.015,0.444
301,,0.625,3.309,0.015,0.477
302,,0.515,3.286,0.017,0.388
303,,0.536,3.275,0.017,0.402
304,,0.591,3.181,0.011,0.448
305,,0.593,3.222,0.017,0.452
306,,0.55,3.191,0.016,0.417
