step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.406,2.83,0.001,0.406
167,,0.402,2.801,0.001,0.402
168,,0.434,2.861,0.001,0.434
169,,0.446,2.805,0.001,0.446
170,,0.426,2.756,0.001,0.426
171,,0.432,2.688,0.001,0.432
172,,0.387,2.792,0.001,0.388
173,,0.426,2.756,0.001,0.426
174,,0.415,2.745,0.001,0.415
175,0.354,0.398,2.832,0.001,0.398
176,,0.366,2.817,0.001,0.366
177,,0.405,2.828,0.0,0.405
178,,0.387,2.796,0.001,0.387
179,,0.422,2.746,0.0,0.422
180,,0.388,2.733,0.001,0.388
181,,0.492,2.678,0.001,0.492
182,,0.397,2.901,0.001,0.397
183,,0.405,2.838,0.0,0.405
184,,0.463,2.735,0.001,0.463
185,,0.396,2.758,0.0,0.396
186,,0.445,2.759,0.001,0.445
187,,0.42,2.758,0.0,0.42
188,,0.419,2.745,0.001,0.419
189,,0.408,2.865,0.0,0.408
190,,0.466,3.122,0.0,0.466
191,,0.454,3.062,0.0,0.454
192,,0.398,3.219,0.0,0.398
193,,0.449,3.201,0.001,0.449
194,,0.412,3.116,0.0,0.412
195,,0.426,3.031,0.0,0.426
196,,0.431,3.03,0.0,0.431
197,,0.475,2.869,0.0,0.475
198,,0.439,2.905,0.0,0.439
199,,0.416,2.945,0.0,0.416
200,0.363,0.38,2.952,0.001,0.38
201,,0.427,2.923,0.0,0.427
202,,0.399,2.972,0.002,0.399
203,,0.39,3.088,0.0,0.39
204,,0.41,3.008,0.0,0.41
205,,0.386,3.067,0.001,0.386
206,,0.468,3.098,0.0,0.468
207,,0.376,3.168,0.0,0.376
208,,0.415,3.165,0.001,0.415
209,,0.48,3.161,0.0,0.48
210,,0.427,3.147,0.001,0.427
211,,0.395,3.144,0.001,0.395
212,,0.436,3.033,0.0,0.436
213,,0.439,3.048,0.0,0.439
214,,0.409,3.017,0.0,0.409
215,,0.409,3.042,0.0,0.409
216,,0.368,3.094,0.0,0.368
217,,0.398,3.042,0.0,0.398
218,,0.445,3.011,0.0,0.445
219,,0.459,3.027,0.0,0.459
220,,0.377,3.052,0.0,0.377
221,,0.419,3.072,0.0,0.419
222,,0.451,3.068,0.001,0.451
223,,0.466,3.066,0.0,0.466
224,,0.407,2.988,0.0,0.407
225,0.372,0.452,2.937,0.0,0.452
226,,0.395,2.972,0.0,0.395
227,,0.436,3.025,0.0,0.436
228,,0.422,3.039,0.001,0.422
229,,0.437,2.991,0.0,0.437
230,,0.46,2.945,0.001,0.46
231,,0.446,2.909,0.0,0.446
232,,0.474,2.991,0.0,0.474
233,,0.377,2.994,0.0,0.377
234,,0.492,2.951,0.0,0.492
235,,0.405,2.971,0.0,0.405
236,,0.423,2.954,0.0,0.423
237,,0.464,2.957,0.0,0.464
238,,0.441,3.015,0.0,0.441
239,,0.427,3.019,0.0,0.427
240,,0.463,2.964,0.0,0.463
241,,0.414,2.952,0.0,0.414
242,,0.427,2.991,0.001,0.427
243,,0.468,3.073,0.0,0.468
244,,0.387,3.254,0.0,0.387
245,,0.445,3.254,0.0,0.445
246,,0.409,3.263,0.0,0.409
247,,0.418,3.229,0.001,0.418
248,,0.423,3.216,0.0,0.423
249,,0.407,3.111,0.001,0.407
250,0.367,0.435,3.161,0.0,0.435
251,,0.481,3.175,0.0,0.481
252,,0.458,3.153,0.0,0.458
253,,0.5,3.18,0.0,0.5
254,,0.405,3.328,0.001,0.405
255,,0.444,3.277,0.0,0.444
256,,0.408,3.174,0.001,0.408
257,,0.441,3.295,0.001,0.441
258,,0.415,3.369,0.0,0.415
259,,0.47,3.33,0.002,0.47
260,,0.403,3.379,0.0,0.403
261,,0.476,3.459,0.001,0.476
262,,0.468,3.391,0.001,0.468
263,,0.416,3.25,0.0,0.416
264,,0.413,3.319,0.0,0.413
265,,0.395,3.104,0.001,0.395
266,,0.38,3.097,0.0,0.38
267,,0.459,3.048,0.001,0.459
268,,0.427,3.031,0.001,0.427
269,,0.453,3.037,0.0,0.453
270,,0.442,3.03,0.0,0.442
271,,0.463,3.046,0.0,0.463
272,,0.377,3.079,0.0,0.377
273,,0.408,3.191,0.001,0.408
274,,0.446,3.195,0.0,0.446
275,0.379,0.416,3.158,0.0,0.416
276,,0.445,3.138,0.0,0.445
277,,0.422,3.099,0.0,0.422
278,,0.429,3.044,0.0,0.429
279,,0.421,3.022,0.0,0.421
280,,0.398,3.047,0.0,0.398
281,,0.495,3.015,0.0,0.495
282,,0.469,3.041,0.0,0.469
283,,0.459,3.095,0.001,0.459
284,,0.454,3.02,0.001,0.454
285,,0.465,3.008,0.001,0.465
286,,0.485,3.061,0.001,0.485
287,,0.452,3.063,0.001,0.452
288,,0.438,2.991,0.0,0.438
289,,0.435,3.0,0.002,0.435
290,,0.4,2.989,0.0,0.4
291,,0.453,3.131,0.001,0.453
292,,0.455,3.009,0.002,0.455
293,,0.488,3.064,0.001,0.487
294,,0.47,3.002,0.001,0.47
295,,0.49,2.947,0.001,0.49
296,,0.408,2.938,0.001,0.408
297,,0.409,3.001,0.001,0.409
298,,0.407,2.979,0.0,0.407
299,,0.487,2.909,0.0,0.487
300,0.374,0.448,2.937,0.001,0.448
301,,0.476,2.938,0.001,0.476
302,,0.399,2.941,0.0,0.399
303,,0.445,2.952,0.0,0.445
304,,0.46,2.888,0.001,0.46
305,,0.465,2.877,0.0,0.465
306,,0.44,2.973,0.0,0.44
307,,0.437,3.005,0.0,0.437
308,,0.451,2.99,0.0,0.451
309,,0.432,2.977,0.0,0.432
310,,0.448,2.987,0.0,0.448
311,,0.426,2.961,0.0,0.426
312,,0.446,2.961,0.0,0.446
313,,0.445,2.945,0.0,0.445
314,,0.428,2.907,0.001,0.428
315,,0.457,2.92,0.001,0.457
316,,0.457,2.985,0.0,0.457
317,,0.473,2.97,0.0,0.473
318,,0.423,2.956,0.001,0.423
319,,0.498,2.943,0.0,0.498
320,,0.482,2.962,0.0,0.482
321,,0.499,2.92,0.001,0.499
322,,0.444,2.922,0.001,0.444
323,,0.422,2.883,0.001,0.422
324,,0.425,2.88,0.001,0.425
325,0.368,0.4,2.97,0.0,0.4
326,,0.436,3.029,0.0,0.436
327,,0.435,3.053,0.0,0.435
328,,0.454,3.084,0.0,0.454
329,,0.492,3.046,0.001,0.492
330,,0.472,2.952,0.002,0.472
331,,0.439,2.877,0.001,0.439
332,,0.47,2.816,0.001,0.47
333,,0.409,2.719,0.001,0.409
334,,0.409,2.652,0.001,0.409
335,,0.456,2.789,0.001,0.456
336,,0.423,2.885,0.001,0.423
337,,0.412,2.95,0.001,0.412
338,,0.448,3.048,0.0,0.448
339,,0.459,3.101,0.0,0.459
340,,0.427,3.147,0.0,0.427
341,,0.458,3.245,0.001,0.458
342,,0.443,3.397,0.0,0.443
343,,0.435,3.315,0.001,0.435
344,,0.476,3.15,0.001,0.476
345,,0.45,3.307,0.001,0.45
346,,0.441,3.499,0.0,0.441
347,,0.469,3.584,0.0,0.469
348,,0.399,3.535,0.0,0.399
349,,0.426,3.357,0.001,0.426
350,0.375,0.45,3.435,0.001,0.45
351,,0.445,3.463,0.0,0.445
352,,0.455,3.298,0.0,0.455
353,,0.419,3.319,0.001,0.419
354,,0.439,3.274,0.0,0.439
355,,0.478,3.22,0.0,0.478
356,,0.435,3.172,0.001,0.435
357,,0.48,3.176,0.0,0.48
358,,0.441,3.17,0.001,0.441
359,,0.49,3.194,0.001,0.49
360,,0.507,3.167,0.001,0.507
361,,0.457,3.241,0.0,0.457
362,,0.441,3.145,0.0,0.441
363,,0.473,3.122,0.0,0.473
364,,0.448,3.208,0.0,0.448
365,,0.466,3.32,0.0,0.466
366,,0.438,3.292,0.0,0.438
367,,0.429,3.342,0.0,0.429
368,,0.441,3.535,0.001,0.441
369,,0.462,3.401,0.0,0.462
370,,0.43,3.452,0.001,0.43
371,,0.412,3.234,0.0,0.412
372,,0.48,3.202,0.0,0.48
373,,0.438,3.229,0.0,0.438
374,,0.427,3.235,0.001,0.427
375,0.388,0.441,3.266,0.0,0.441
376,,0.421,3.2,0.0,0.421
377,,0.454,3.196,0.0,0.454
378,,0.471,3.157,0.001,0.471
379,,0.405,3.179,0.001,0.405
380,,0.495,3.138,0.0,0.495
381,,0.44,3.17,0.001,0.44
382,,0.469,3.151,0.001,0.469
383,,0.45,3.12,0.0,0.45
384,,0.45,3.184,0.0,0.45
385,,0.506,3.255,0.001,0.506
386,,0.415,3.373,0.0,0.415
387,,0.462,3.168,0.0,0.462
388,,0.467,3.25,0.0,0.467
389,,0.463,3.355,0.0,0.463
390,,0.51,3.423,0.001,0.51
391,,0.481,3.397,0.0,0.481
392,,0.42,3.461,0.001,0.42
393,,0.444,3.404,0.001,0.444
394,,0.464,3.38,0.0,0.464
395,,0.438,3.416,0.0,0.438
396,,0.464,3.298,0.0,0.464
397,,0.414,3.566,0.0,0.414
398,,0.45,3.648,0.001,0.45
399,,0.445,3.614,0.001,0.445
400,0.383,0.438,3.575,0.0,0.438
401,,0.402,3.668,0.001,0.402
402,,0.452,3.408,0.0,0.452
403,,0.469,3.423,0.0,0.469
404,,0.476,3.687,0.001,0.476
405,,0.508,3.713,0.002,0.508
406,,0.41,3.638,0.001,0.41
407,,0.491,3.585,0.0,0.491
408,,0.458,3.516,0.001,0.458
409,,0.391,3.584,0.0,0.391
410,,0.479,3.372,0.001,0.479
411,,0.512,3.334,0.0,0.512
412,,0.501,3.419,0.0,0.501
413,,0.43,3.234,0.0,0.43
414,,0.48,3.344,0.0,0.48
415,,0.458,3.402,0.0,0.458
416,,0.531,3.301,0.0,0.531
417,,0.423,3.262,0.0,0.423
418,,0.436,3.258,0.0,0.436
419,,0.409,3.291,0.001,0.409
420,,0.477,3.212,0.0,0.477
421,,0.47,3.241,0.0,0.47
422,,0.467,3.15,0.0,0.467
423,,0.46,3.182,0.0,0.46
424,,0.478,3.235,0.001,0.478
425,0.384,0.445,3.268,0.001,0.445
426,,0.456,3.305,0.0,0.456
427,,0.472,3.34,0.0,0.472
428,,0.477,3.338,0.0,0.477
429,,0.384,3.309,0.0,0.384
430,,0.443,3.306,0.0,0.443
431,,0.466,3.273,0.0,0.466
432,,0.448,3.327,0.0,0.448
433,,0.415,3.333,0.0,0.415
434,,0.498,3.359,0.0,0.498
435,,0.477,3.248,0.0,0.477
436,,0.438,3.317,0.0,0.438
437,,0.463,3.373,0.0,0.463
438,,0.488,3.276,0.0,0.487
439,,0.463,3.378,0.0,0.463
440,,0.466,3.391,0.0,0.466
441,,0.467,3.295,0.0,0.467
442,,0.461,3.327,0.0,0.461
443,,0.461,3.448,0.0,0.461
444,,0.528,3.444,0.001,0.528
445,,0.449,3.418,0.0,0.449
446,,0.441,3.655,0.0,0.441
447,,0.511,3.615,0.0,0.511
448,,0.491,3.803,0.0,0.491
449,,0.473,3.743,0.0,0.473
450,0.379,0.473,3.667,0.0,0.473
451,,0.465,3.602,0.0,0.465
452,,0.5,3.561,0.0,0.5
453,,0.429,3.661,0.0,0.429
454,,0.437,3.748,0.001,0.437
455,,0.518,3.798,0.0,0.518
456,,0.5,3.82,0.0,0.5
457,,0.435,3.616,0.0,0.435
458,,0.506,3.735,0.0,0.506
459,,0.5,3.612,0.0,0.5
460,,0.559,3.675,0.0,0.559
461,,0.428,3.639,0.0,0.428
462,,0.527,3.626,0.0,0.527
463,,0.45,3.666,0.0,0.45
464,,0.512,3.748,0.0,0.512
465,,0.455,3.692,0.0,0.455
466,,0.477,3.641,0.0,0.477
467,,0.478,3.548,0.0,0.478
468,,0.467,3.757,0.0,0.467
469,,0.45,3.785,0.0,0.45
470,,0.473,3.56,0.0,0.473
471,,0.483,3.651,0.0,0.483
472,,0.455,3.67,0.0,0.455
473,,0.462,3.627,0.0,0.462
474,,0.455,3.682,0.0,0.455
475,0.391,0.491,3.695,0.0,0.491
476,,0.464,3.637,0.0,0.464
477,,0.466,3.827,0.0,0.466
478,,0.455,3.65,0.0,0.455
479,,0.463,3.607,0.0,0.463
480,,0.429,3.678,0.0,0.429
481,,0.463,3.709,0.0,0.463
482,,0.527,3.688,0.0,0.527
483,,0.463,3.739,0.0,0.463
484,,0.452,3.838,0.0,0.452
