step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.01,0.262
3,,0.263,1.653,0.013,0.263
4,,0.244,1.651,0.016,0.244
5,,0.272,1.625,0.023,0.272
6,,0.252,1.632,0.007,0.252
7,,0.245,1.634,0.007,0.245
8,,0.236,1.627,0.009,0.236
9,,0.243,1.613,0.022,0.243
10,,0.234,1.605,0.009,0.234
11,,0.272,1.659,0.018,0.272
12,,0.247,1.669,0.012,0.247
13,,0.234,1.696,0.016,0.234
14,,0.281,1.681,0.019,0.281
15,,0.272,1.698,0.01,0.272
16,,0.274,1.712,0.019,0.274
17,,0.276,1.755,0.01,0.276
18,,0.282,1.74,0.008,0.282
19,,0.322,1.763,0.01,0.322
20,,0.287,1.798,0.017,0.287
21,,0.327,1.88,0.008,0.327
22,,0.284,1.913,0.02,0.284
23,,0.291,1.902,0.017,0.291
24,,0.307,1.962,0.01,0.307
25,0.281,0.335,1.967,0.012,0.335
26,,0.312,1.995,0.017,0.312
27,,0.318,1.984,0.013,0.318
28,,0.294,2.03,0.02,0.294
29,,0.325,2.014,0.014,0.325
30,,0.303,2.039,0.015,0.303
31,,0.316,2.043,0.011,0.316
32,,0.327,2.093,0.023,0.327
33,,0.335,2.111,0.016,0.335
34,,0.347,2.116,0.015,0.347
35,,0.337,2.1,0.01,0.337
36,,0.339,2.125,0.017,0.339
37,,0.362,2.126,0.011,0.362
38,,0.358,2.168,0.017,0.358
39,,0.324,2.175,0.021,0.324
40,,0.348,2.158,0.015,0.348
41,,0.338,2.173,0.012,0.338
42,,0.38,2.177,0.015,0.38
43,,0.334,2.234,0.024,0.334
44,,0.381,2.22,0.016,0.381
45,,0.349,2.252,0.015,0.349
46,,0.399,2.292,0.015,0.399
47,,0.325,2.316,0.018,0.325
48,,0.302,2.286,0.014,0.302
49,,0.334,2.29,0.009,0.334
50,0.299,0.328,2.359,0.018,0.328
51,,0.36,2.268,0.016,0.36
52,,0.373,2.303,0.018,0.373
53,,0.339,2.374,0.022,0.339
54,,0.368,2.333,0.023,0.368
55,,0.377,2.305,0.024,0.377
56,,0.338,2.403,0.017,0.338
57,,0.352,2.355,0.029,0.352
58,,0.399,2.352,0.023,0.399
59,,0.35,2.338,0.019,0.35
60,,0.338,2.334,0.018,0.338
61,,0.38,2.291,0.023,0.38
62,,0.374,2.328,0.026,0.374
