step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.011,0.262
3,,0.245,1.646,0.007,0.245
4,,0.25,1.653,0.011,0.25
5,,0.262,1.652,0.02,0.262
6,,0.245,1.609,0.015,0.245
7,,0.238,1.639,0.007,0.238
8,,0.224,1.585,0.009,0.224
9,,0.24,1.601,0.017,0.24
10,,0.264,1.642,0.013,0.264
11,,0.255,1.674,0.018,0.255
12,,0.242,1.69,0.024,0.242
13,,0.23,1.655,0.015,0.23
14,,0.273,1.673,0.021,0.273
15,,0.275,1.709,0.013,0.275
16,,0.264,1.696,0.019,0.264
17,,0.28,1.755,0.009,0.28
18,,0.276,1.73,0.007,0.276
19,,0.323,1.742,0.01,0.323
20,,0.273,1.778,0.01,0.273
21,,0.326,1.888,0.013,0.326
22,,0.275,1.889,0.014,0.275
23,,0.294,1.884,0.011,0.294
24,,0.301,1.93,0.007,0.301
25,0.291,0.345,1.948,0.014,0.345
26,,0.314,1.969,0.011,0.314
27,,0.32,1.99,0.009,0.32
28,,0.305,2.045,0.012,0.305
29,,0.334,2.018,0.008,0.334
30,,0.316,2.041,0.009,0.316
31,,0.316,2.042,0.005,0.316
32,,0.33,2.075,0.015,0.33
33,,0.343,2.1,0.006,0.343
34,,0.352,2.11,0.006,0.352
35,,0.349,2.092,0.002,0.349
36,,0.327,2.096,0.006,0.327
37,,0.359,2.11,0.006,0.359
38,,0.346,2.161,0.005,0.346
39,,0.329,2.145,0.004,0.329
40,,0.34,2.138,0.008,0.34
41,,0.349,2.172,0.002,0.349
42,,0.377,2.186,0.004,0.377
43,,0.347,2.216,0.007,0.347
44,,0.397,2.192,0.003,0.397
45,,0.34,2.197,0.005,0.34
46,,0.398,2.233,0.007,0.398
47,,0.326,2.252,0.006,0.326
48,,0.304,2.249,0.001,0.304
49,,0.327,2.262,0.003,0.327
50,0.307,0.333,2.333,0.003,0.333
51,,0.368,2.23,0.003,0.368
52,,0.376,2.287,0.002,0.376
53,,0.35,2.349,0.006,0.35
54,,0.379,2.291,0.006,0.379
55,,0.391,2.306,0.006,0.391
56,,0.33,2.388,0.003,0.33
57,,0.359,2.384,0.011,0.359
58,,0.404,2.365,0.003,0.404
59,,0.37,2.402,0.002,0.37
60,,0.33,2.336,0.007,0.33
61,,0.378,2.354,0.003,0.378
62,,0.415,2.394,0.007,0.415
