step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.38,2.534,0.072,0.38
167,,0.374,2.527,0.071,0.374
168,,0.389,2.613,0.084,0.389
169,,0.434,2.535,0.068,0.434
170,,0.391,2.562,0.067,0.391
171,,0.403,2.598,0.078,0.403
172,,0.369,2.611,0.078,0.369
173,,0.387,2.613,0.079,0.387
174,,0.383,2.616,0.064,0.383
175,0.316,0.36,2.584,0.078,0.36
176,,0.329,2.612,0.077,0.329
177,,0.387,2.623,0.066,0.388
178,,0.36,2.588,0.072,0.36
179,,0.403,2.602,0.063,0.403
180,,0.351,2.642,0.067,0.351
181,,0.455,2.603,0.076,0.455
182,,0.373,2.671,0.071,0.373
183,,0.382,2.716,0.089,0.382
184,,0.445,2.713,0.073,0.445
185,,0.364,2.737,0.078,0.364
186,,0.397,2.712,0.074,0.397
187,,0.393,2.755,0.08,0.393
188,,0.386,2.773,0.091,0.386
189,,0.38,2.722,0.092,0.38
190,,0.434,2.755,0.068,0.434
191,,0.43,2.689,0.068,0.43
192,,0.361,2.772,0.074,0.361
193,,0.402,2.708,0.061,0.402
194,,0.409,2.695,0.059,0.409
195,,0.391,2.65,0.06,0.391
196,,0.423,2.588,0.053,0.423
197,,0.429,2.577,0.058,0.429
198,,0.424,2.602,0.055,0.424
199,,0.4,2.596,0.055,0.4
200,0.322,0.351,2.645,0.054,0.351
201,,0.396,2.609,0.061,0.396
202,,0.334,2.759,0.068,0.334
203,,0.335,2.759,0.068,0.335
204,,0.373,2.772,0.069,0.373
205,,0.378,2.776,0.058,0.378
206,,0.438,2.741,0.062,0.438
207,,0.354,2.751,0.07,0.354
208,,0.39,2.659,0.066,0.39
209,,0.43,2.697,0.068,0.43
210,,0.374,2.695,0.07,0.374
211,,0.373,2.719,0.068,0.373
212,,0.41,2.592,0.063,0.41
213,,0.435,2.659,0.075,0.435
214,,0.398,2.766,0.078,0.398
215,,0.377,2.652,0.053,0.377
216,,0.359,2.664,0.06,0.359
217,,0.368,2.631,0.066,0.368
218,,0.398,2.705,0.08,0.398
219,,0.412,2.688,0.073,0.412
220,,0.338,2.754,0.09,0.338
221,,0.416,2.729,0.075,0.416
222,,0.402,2.688,0.065,0.402
223,,0.42,2.689,0.063,0.42
224,,0.395,2.722,0.076,0.395
225,0.325,0.391,2.638,0.061,0.391
226,,0.36,2.693,0.075,0.36
227,,0.402,2.616,0.073,0.402
228,,0.382,2.643,0.068,0.382
229,,0.395,2.563,0.058,0.395
230,,0.441,2.527,0.057,0.441
231,,0.404,2.571,0.051,0.404
232,,0.445,2.616,0.065,0.445
233,,0.335,2.595,0.075,0.335
234,,0.467,2.521,0.056,0.467
235,,0.366,2.55,0.064,0.366
236,,0.382,2.49,0.06,0.382
237,,0.451,2.538,0.062,0.451
238,,0.437,2.514,0.051,0.437
239,,0.38,2.577,0.061,0.38
240,,0.432,2.485,0.067,0.432
241,,0.398,2.505,0.06,0.398
242,,0.427,2.516,0.07,0.427
