step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.397,2.848,0.031,0.397
167,,0.384,2.885,0.032,0.384
168,,0.419,3.055,0.051,0.419
169,,0.434,2.966,0.045,0.434
170,,0.392,2.961,0.046,0.392
171,,0.424,2.944,0.033,0.424
172,,0.39,3.048,0.051,0.39
173,,0.391,2.975,0.037,0.391
174,,0.402,2.901,0.047,0.402
175,0.336,0.387,2.836,0.052,0.388
176,,0.329,3.007,0.046,0.329
177,,0.371,3.06,0.042,0.371
178,,0.384,3.023,0.044,0.384
179,,0.405,3.056,0.047,0.405
180,,0.377,3.011,0.046,0.377
181,,0.466,3.061,0.048,0.466
182,,0.381,3.032,0.051,0.381
183,,0.4,3.105,0.063,0.4
184,,0.463,2.995,0.046,0.463
185,,0.398,2.985,0.051,0.398
186,,0.419,2.787,0.03,0.419
187,,0.401,2.877,0.058,0.401
188,,0.388,2.944,0.047,0.388
189,,0.398,2.92,0.059,0.398
190,,0.44,3.058,0.049,0.44
191,,0.423,3.004,0.048,0.423
192,,0.377,3.187,0.058,0.377
193,,0.423,2.918,0.046,0.423
194,,0.4,2.983,0.053,0.4
195,,0.413,3.059,0.043,0.413
196,,0.427,2.951,0.038,0.427
197,,0.42,3.067,0.053,0.42
198,,0.421,3.023,0.043,0.421
199,,0.381,3.058,0.037,0.381
200,0.338,0.363,2.977,0.041,0.363
201,,0.407,2.972,0.05,0.407
202,,0.369,3.096,0.044,0.369
203,,0.366,3.112,0.05,0.366
204,,0.389,3.085,0.044,0.389
205,,0.38,3.051,0.052,0.38
206,,0.452,2.966,0.043,0.452
207,,0.358,3.128,0.056,0.358
208,,0.401,3.038,0.053,0.401
209,,0.462,3.062,0.049,0.462
210,,0.414,3.008,0.048,0.414
211,,0.398,2.948,0.043,0.398
212,,0.417,2.809,0.032,0.417
213,,0.434,2.736,0.034,0.434
214,,0.393,2.911,0.049,0.393
215,,0.376,2.839,0.042,0.376
216,,0.345,2.833,0.043,0.345
217,,0.39,2.875,0.046,0.39
218,,0.416,2.944,0.038,0.416
219,,0.415,2.871,0.045,0.415
220,,0.366,2.911,0.046,0.366
221,,0.416,2.913,0.043,0.416
222,,0.409,3.007,0.043,0.409
223,,0.432,3.016,0.044,0.432
224,,0.398,2.96,0.051,0.398
225,0.349,0.432,2.959,0.056,0.432
226,,0.352,2.895,0.047,0.352
