step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.266,1.659,0.009,0.266
2,,0.262,1.63,0.011,0.262
3,,0.252,1.659,0.015,0.252
4,,0.245,1.623,0.009,0.245
5,,0.266,1.647,0.022,0.266
6,,0.255,1.623,0.012,0.255
7,,0.241,1.627,0.008,0.241
8,,0.223,1.605,0.01,0.223
9,,0.255,1.637,0.025,0.255
10,,0.241,1.635,0.015,0.241
11,,0.258,1.626,0.022,0.258
12,,0.256,1.655,0.011,0.256
13,,0.23,1.644,0.009,0.23
14,,0.273,1.638,0.021,0.273
15,,0.252,1.647,0.011,0.252
16,,0.254,1.638,0.016,0.254
17,,0.258,1.684,0.011,0.258
18,,0.269,1.658,0.006,0.269
19,,0.306,1.674,0.014,0.306
20,,0.267,1.712,0.017,0.267
21,,0.305,1.773,0.012,0.305
22,,0.243,1.777,0.013,0.243
23,,0.267,1.805,0.014,0.267
24,,0.297,1.848,0.008,0.297
25,0.288,0.336,1.895,0.007,0.336
26,,0.305,1.91,0.006,0.305
27,,0.323,1.962,0.009,0.323
28,,0.316,2.021,0.017,0.316
29,,0.315,1.994,0.015,0.315
30,,0.284,2.013,0.006,0.284
31,,0.316,2.035,0.003,0.316
32,,0.326,2.049,0.012,0.326
33,,0.33,2.06,0.004,0.33
34,,0.345,2.095,0.007,0.345
35,,0.333,2.051,0.002,0.333
36,,0.341,2.08,0.008,0.341
37,,0.37,2.105,0.007,0.37
38,,0.345,2.121,0.005,0.345
39,,0.324,2.154,0.003,0.324
40,,0.344,2.163,0.005,0.344
41,,0.348,2.169,0.002,0.348
42,,0.378,2.166,0.002,0.378
43,,0.339,2.246,0.01,0.339
44,,0.387,2.22,0.003,0.387
45,,0.355,2.249,0.002,0.355
46,,0.396,2.276,0.004,0.396
47,,0.319,2.261,0.003,0.319
48,,0.304,2.316,0.002,0.304
49,,0.33,2.317,0.001,0.33
50,0.305,0.341,2.391,0.002,0.341
51,,0.379,2.274,0.002,0.379
52,,0.387,2.326,0.003,0.388
53,,0.372,2.409,0.003,0.372
54,,0.372,2.336,0.003,0.372
55,,0.394,2.326,0.004,0.394
56,,0.325,2.416,0.001,0.325
57,,0.366,2.405,0.006,0.366
58,,0.409,2.382,0.001,0.409
59,,0.363,2.411,0.002,0.362
60,,0.341,2.429,0.006,0.341
61,,0.391,2.432,0.003,0.391
62,,0.401,2.478,0.005,0.401
