step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.373,3.173,0.293,0.373
167,,0.399,3.154,0.317,0.399
168,,0.427,3.176,0.336,0.427
169,,0.42,3.134,0.316,0.42
170,,0.407,3.127,0.327,0.407
171,,0.426,3.151,0.354,0.426
172,,0.38,3.148,0.381,0.38
173,,0.408,3.148,0.401,0.408
174,,0.391,3.144,0.415,0.391
175,0.327,0.364,3.144,0.439,0.364
176,,0.341,3.179,0.48,0.341
177,,0.37,3.166,0.478,0.37
178,,0.37,3.176,0.495,0.37
179,,0.398,3.177,0.508,0.398
180,,0.378,3.176,0.51,0.378
181,,0.447,3.162,0.519,0.447
182,,0.379,3.163,0.545,0.379
183,,0.382,3.195,0.559,0.382
184,,0.439,3.198,0.567,0.439
185,,0.399,3.195,0.596,0.399
186,,0.423,3.168,0.605,0.423
187,,0.411,3.165,0.619,0.411
188,,0.409,3.177,0.626,0.409
189,,0.415,3.166,0.628,0.415
190,,0.452,3.147,0.618,0.452
191,,0.427,3.135,0.636,0.427
192,,0.356,3.155,0.648,0.356
193,,0.416,3.12,0.635,0.416
194,,0.41,3.153,0.648,0.41
195,,0.402,3.153,0.669,0.402
196,,0.408,3.18,0.671,0.408
197,,0.429,3.191,0.671,0.429
198,,0.43,3.194,0.673,0.43
199,,0.414,3.124,0.67,0.414
200,0.34,0.366,3.148,0.669,0.366
201,,0.404,3.187,0.675,0.404
202,,0.356,3.173,0.682,0.356
203,,0.367,3.21,0.687,0.367
204,,0.389,3.17,0.681,0.389
205,,0.373,3.189,0.687,0.373
206,,0.467,3.183,0.682,0.467
207,,0.37,3.216,0.695,0.37
208,,0.398,3.222,0.694,0.398
209,,0.449,3.272,0.702,0.449
210,,0.401,3.291,0.7,0.401
211,,0.398,3.287,0.698,0.398
212,,0.425,3.373,0.705,0.425
213,,0.418,3.4,0.707,0.418
214,,0.391,3.518,0.732,0.391
215,,0.372,3.55,0.731,0.372
216,,0.353,3.537,0.734,0.353
217,,0.363,3.592,0.737,0.362
218,,0.415,3.522,0.732,0.415
219,,0.399,3.578,0.733,0.399
220,,0.372,3.514,0.726,0.372
221,,0.404,3.525,0.731,0.404
222,,0.397,3.608,0.74,0.397
223,,0.403,3.721,0.754,0.403
224,,0.372,3.674,0.747,0.372
225,0.342,0.428,3.681,0.74,0.428
226,,0.376,3.618,0.737,0.376
227,,0.398,3.585,0.738,0.398
228,,0.386,3.723,0.751,0.386
229,,0.369,3.763,0.757,0.369
230,,0.416,3.763,0.753,0.416
231,,0.402,3.709,0.743,0.402
232,,0.438,3.773,0.75,0.438
233,,0.341,3.74,0.755,0.341
234,,0.46,3.799,0.755,0.46
235,,0.367,3.731,0.748,0.367
236,,0.412,3.652,0.735,0.412
237,,0.46,3.706,0.744,0.46
238,,0.41,3.731,0.751,0.41
239,,0.391,3.754,0.753,0.391
240,,0.42,3.763,0.752,0.42
241,,0.382,3.781,0.752,0.382
242,,0.429,3.713,0.745,0.429
243,,0.438,3.813,0.759,0.438
244,,0.32,3.818,0.76,0.32
245,,0.414,3.763,0.753,0.414
246,,0.42,3.686,0.742,0.42
247,,0.397,3.784,0.757,0.397
248,,0.379,3.741,0.749,0.379
249,,0.383,3.762,0.75,0.383
250,0.346,0.392,3.731,0.744,0.392
251,,0.466,3.743,0.744,0.466
252,,0.438,3.642,0.74,0.438
253,,0.468,3.64,0.742,0.468
254,,0.392,3.615,0.733,0.392
255,,0.426,3.6,0.735,0.426
256,,0.391,3.628,0.737,0.391
257,,0.413,3.633,0.739,0.413
258,,0.386,3.704,0.744,0.386
259,,0.452,3.727,0.748,0.452
260,,0.391,3.777,0.753,0.391
261,,0.441,3.812,0.752,0.441
262,,0.445,3.85,0.763,0.445
263,,0.404,3.797,0.754,0.404
264,,0.38,3.848,0.765,0.38
265,,0.383,3.806,0.752,0.383
266,,0.362,3.814,0.759,0.362
267,,0.41,3.798,0.752,0.41
268,,0.416,3.825,0.759,0.416
269,,0.413,3.777,0.753,0.413
270,,0.412,3.867,0.763,0.412
271,,0.459,3.854,0.758,0.459
272,,0.337,3.787,0.757,0.337
273,,0.395,3.745,0.752,0.395
274,,0.413,3.788,0.753,0.413
275,0.336,0.381,3.779,0.756,0.381
276,,0.416,3.804,0.755,0.416
277,,0.423,3.701,0.741,0.423
278,,0.405,3.69,0.739,0.405
279,,0.387,3.715,0.747,0.388
280,,0.377,3.609,0.737,0.377
281,,0.466,3.677,0.74,0.466
282,,0.433,3.712,0.743,0.433
283,,0.447,3.741,0.747,0.447
284,,0.414,3.772,0.753,0.414
285,,0.441,3.841,0.76,0.441
286,,0.444,3.794,0.754,0.444
287,,0.43,3.798,0.757,0.43
288,,0.4,3.686,0.741,0.4
289,,0.409,3.775,0.752,0.409
290,,0.382,3.818,0.753,0.382
291,,0.414,3.798,0.754,0.414
292,,0.426,3.786,0.753,0.426
293,,0.467,3.672,0.739,0.467
294,,0.447,3.721,0.746,0.447
295,,0.477,3.72,0.743,0.477
296,,0.398,3.689,0.74,0.398
297,,0.401,3.734,0.743,0.401
298,,0.384,3.724,0.746,0.384
299,,0.452,3.827,0.751,0.452
300,0.337,0.433,3.821,0.756,0.433
301,,0.466,3.804,0.749,0.466
302,,0.38,3.78,0.745,0.38
303,,0.416,3.773,0.748,0.416
304,,0.438,3.848,0.751,0.438
305,,0.438,3.884,0.758,0.438
306,,0.415,3.879,0.756,0.415
307,,0.427,3.93,0.767,0.427
308,,0.423,3.835,0.748,0.423
309,,0.398,3.815,0.752,0.398
310,,0.436,3.834,0.752,0.436
311,,0.4,3.802,0.748,0.4
312,,0.434,3.858,0.75,0.434
313,,0.406,3.859,0.757,0.406
314,,0.401,3.764,0.745,0.401
315,,0.427,3.812,0.745,0.427
316,,0.444,3.857,0.747,0.444
317,,0.444,3.812,0.744,0.444
318,,0.402,3.834,0.745,0.402
319,,0.472,3.92,0.753,0.472
320,,0.441,3.916,0.754,0.441
321,,0.465,3.912,0.752,0.465
322,,0.393,3.883,0.747,0.393
323,,0.407,3.91,0.753,0.407
324,,0.412,3.959,0.764,0.412
325,0.345,0.378,3.952,0.756,0.378
326,,0.393,3.97,0.758,0.393
327,,0.412,3.954,0.759,0.412
328,,0.419,3.963,0.757,0.419
329,,0.447,3.921,0.751,0.447
330,,0.452,3.901,0.748,0.452
331,,0.418,3.976,0.759,0.418
332,,0.438,3.934,0.754,0.438
333,,0.385,3.953,0.757,0.385
334,,0.377,3.949,0.755,0.377
335,,0.455,3.914,0.748,0.455
336,,0.394,3.937,0.751,0.394
337,,0.398,3.861,0.748,0.398
338,,0.419,3.927,0.753,0.419
339,,0.382,3.991,0.767,0.382
340,,0.422,3.949,0.753,0.422
341,,0.389,3.985,0.769,0.389
342,,0.414,3.987,0.765,0.414
343,,0.4,3.985,0.761,0.4
344,,0.448,3.98,0.759,0.448
345,,0.398,3.988,0.758,0.398
346,,0.424,3.984,0.757,0.424
347,,0.433,3.965,0.754,0.433
348,,0.383,3.978,0.757,0.383
349,,0.366,3.99,0.759,0.366
350,0.343,0.445,3.963,0.754,0.445
351,,0.405,3.983,0.756,0.405
352,,0.427,3.998,0.766,0.427
353,,0.399,3.958,0.75,0.399
354,,0.435,3.834,0.742,0.435
355,,0.446,3.806,0.74,0.446
356,,0.398,3.932,0.75,0.398
357,,0.447,3.985,0.759,0.447
358,,0.412,3.966,0.753,0.412
359,,0.466,3.927,0.749,0.466
360,,0.467,3.985,0.755,0.467
361,,0.43,3.993,0.758,0.43
362,,0.412,3.989,0.756,0.412
363,,0.438,3.988,0.756,0.438
364,,0.428,3.998,0.757,0.428
365,,0.434,3.996,0.756,0.434
366,,0.394,3.993,0.757,0.394
367,,0.43,3.977,0.753,0.43
368,,0.417,3.963,0.752,0.417
369,,0.463,3.901,0.747,0.463
370,,0.416,3.97,0.753,0.416
371,,0.359,3.983,0.755,0.359
372,,0.467,3.994,0.756,0.467
373,,0.41,3.988,0.755,0.41
374,,0.378,3.968,0.757,0.378
375,0.343,0.427,3.977,0.753,0.427
376,,0.392,3.986,0.755,0.392
377,,0.447,3.987,0.756,0.447
378,,0.416,3.989,0.758,0.416
379,,0.394,3.991,0.759,0.394
380,,0.446,3.987,0.754,0.446
381,,0.426,3.991,0.755,0.426
382,,0.416,3.993,0.756,0.416
383,,0.409,3.987,0.754,0.409
384,,0.405,3.991,0.757,0.405
385,,0.47,3.986,0.755,0.47
386,,0.411,3.996,0.757,0.411
387,,0.43,3.992,0.756,0.43
388,,0.427,3.995,0.759,0.427
389,,0.414,3.996,0.757,0.414
390,,0.47,3.977,0.753,0.47
391,,0.446,3.997,0.755,0.446
392,,0.402,3.999,0.753,0.402
393,,0.42,3.991,0.755,0.42
394,,0.423,3.991,0.754,0.423
395,,0.392,3.995,0.757,0.392
396,,0.409,3.995,0.753,0.409
397,,0.364,3.978,0.753,0.364
398,,0.402,3.979,0.754,0.402
399,,0.421,3.98,0.752,0.421
400,0.343,0.43,3.975,0.751,0.43
401,,0.377,3.988,0.752,0.377
402,,0.41,3.983,0.751,0.41
403,,0.445,3.984,0.752,0.445
404,,0.466,3.984,0.75,0.466
405,,0.501,3.933,0.747,0.501
406,,0.357,3.94,0.749,0.357
407,,0.445,3.995,0.754,0.445
408,,0.408,3.994,0.752,0.408
409,,0.366,3.992,0.753,0.366
410,,0.481,3.987,0.752,0.481
411,,0.451,3.994,0.752,0.451
412,,0.455,3.998,0.753,0.455
413,,0.425,3.998,0.755,0.425
414,,0.434,3.995,0.752,0.434
415,,0.415,3.997,0.754,0.415
416,,0.504,3.998,0.754,0.504
417,,0.38,3.989,0.753,0.38
418,,0.404,3.99,0.751,0.404
