step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.389,2.447,0.018,0.389
167,,0.403,2.446,0.02,0.403
168,,0.402,2.477,0.023,0.402
169,,0.411,2.454,0.017,0.411
170,,0.392,2.447,0.014,0.392
171,,0.427,2.458,0.014,0.427
172,,0.384,2.498,0.019,0.384
173,,0.384,2.47,0.019,0.384
174,,0.391,2.476,0.014,0.391
175,0.326,0.375,2.483,0.022,0.375
176,,0.329,2.534,0.017,0.329
177,,0.388,2.516,0.012,0.388
178,,0.368,2.572,0.017,0.368
179,,0.402,2.496,0.014,0.402
180,,0.366,2.504,0.016,0.366
181,,0.446,2.545,0.018,0.446
182,,0.376,2.53,0.015,0.376
183,,0.381,2.608,0.025,0.381
184,,0.447,2.592,0.018,0.447
185,,0.391,2.596,0.016,0.391
186,,0.426,2.637,0.013,0.426
187,,0.387,2.721,0.021,0.387
188,,0.386,2.691,0.018,0.386
189,,0.415,2.63,0.015,0.415
190,,0.455,2.662,0.015,0.455
191,,0.434,2.607,0.019,0.434
192,,0.367,2.659,0.018,0.367
193,,0.408,2.543,0.015,0.408
194,,0.391,2.586,0.015,0.391
195,,0.405,2.571,0.016,0.405
196,,0.422,2.588,0.013,0.422
197,,0.424,2.623,0.026,0.424
198,,0.444,2.608,0.009,0.444
199,,0.38,2.554,0.011,0.38
200,0.333,0.352,2.57,0.013,0.352
201,,0.395,2.531,0.02,0.395
202,,0.358,2.559,0.023,0.358
203,,0.363,2.589,0.018,0.362
204,,0.361,2.491,0.02,0.361
205,,0.37,2.539,0.018,0.37
206,,0.433,2.5,0.017,0.433
207,,0.356,2.588,0.016,0.356
208,,0.395,2.548,0.015,0.395
209,,0.445,2.561,0.015,0.445
210,,0.387,2.598,0.017,0.387
211,,0.387,2.63,0.018,0.388
212,,0.416,2.511,0.016,0.416
213,,0.423,2.523,0.015,0.423
214,,0.401,2.615,0.02,0.401
215,,0.38,2.529,0.015,0.38
216,,0.337,2.509,0.017,0.337
217,,0.383,2.479,0.019,0.383
218,,0.416,2.506,0.014,0.416
219,,0.415,2.523,0.014,0.415
220,,0.343,2.562,0.015,0.343
221,,0.427,2.621,0.014,0.427
222,,0.407,2.609,0.019,0.407
223,,0.431,2.573,0.013,0.431
224,,0.394,2.66,0.016,0.394
