step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.407,3.036,0.001,0.407
167,,0.42,3.078,0.0,0.42
168,,0.427,3.113,0.002,0.427
169,,0.43,3.167,0.0,0.43
170,,0.437,3.152,0.001,0.437
171,,0.427,3.0,0.0,0.427
172,,0.412,2.979,0.0,0.412
173,,0.43,3.05,0.001,0.43
174,,0.43,3.02,0.0,0.43
175,0.37,0.402,3.098,0.0,0.402
176,,0.357,3.037,0.001,0.357
177,,0.411,2.943,0.0,0.411
178,,0.403,2.86,0.0,0.403
179,,0.434,2.88,0.0,0.434
180,,0.391,2.851,0.001,0.391
181,,0.484,2.906,0.0,0.484
182,,0.415,2.827,0.001,0.415
183,,0.393,2.873,0.0,0.393
184,,0.462,2.811,0.0,0.462
185,,0.408,2.872,0.001,0.408
186,,0.455,2.742,0.0,0.455
187,,0.429,2.785,0.001,0.429
188,,0.421,2.858,0.002,0.421
189,,0.442,2.798,0.001,0.442
190,,0.498,2.86,0.0,0.498
191,,0.459,2.793,0.001,0.459
192,,0.371,2.842,0.0,0.371
193,,0.437,2.765,0.0,0.437
194,,0.431,2.888,0.0,0.431
195,,0.438,2.921,0.0,0.438
196,,0.435,2.916,0.0,0.435
197,,0.486,2.88,0.0,0.486
198,,0.465,2.88,0.0,0.465
199,,0.441,2.73,0.0,0.441
200,0.373,0.395,2.83,0.0,0.395
201,,0.426,2.813,0.0,0.426
202,,0.382,2.898,0.001,0.382
203,,0.398,2.991,0.0,0.398
204,,0.413,3.022,0.001,0.413
205,,0.404,3.073,0.0,0.404
206,,0.473,3.007,0.0,0.473
207,,0.398,3.072,0.0,0.398
208,,0.441,2.976,0.001,0.441
209,,0.494,3.019,0.002,0.494
210,,0.421,3.03,0.002,0.421
211,,0.416,3.073,0.001,0.416
212,,0.456,3.062,0.0,0.456
213,,0.448,3.102,0.0,0.448
214,,0.399,3.241,0.0,0.399
215,,0.41,3.151,0.0,0.41
216,,0.387,3.107,0.0,0.388
217,,0.402,3.112,0.002,0.402
218,,0.452,3.158,0.0,0.452
219,,0.473,3.295,0.001,0.473
220,,0.376,3.378,0.0,0.376
221,,0.434,3.471,0.0,0.434
222,,0.416,3.573,0.0,0.416
223,,0.471,3.537,0.001,0.471
224,,0.413,3.518,0.0,0.413
225,0.366,0.441,3.472,0.001,0.441
226,,0.418,3.241,0.0,0.418
227,,0.427,3.321,0.001,0.427
228,,0.428,3.37,0.002,0.428
229,,0.451,3.338,0.001,0.451
230,,0.47,3.339,0.001,0.47
231,,0.446,3.338,0.001,0.446
232,,0.496,3.314,0.0,0.496
233,,0.399,3.336,0.001,0.399
234,,0.497,3.298,0.001,0.497
235,,0.43,3.38,0.0,0.43
236,,0.454,3.323,0.001,0.454
237,,0.473,3.327,0.001,0.473
238,,0.472,3.29,0.0,0.472
