step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
0,0.234,,,,
1,,0.329,1.659,0.008,0.266
2,,0.324,1.63,0.01,0.262
3,,0.329,1.63,0.017,0.264
4,,0.326,1.657,0.011,0.257
5,,0.318,1.638,0.014,0.252
6,,0.302,1.62,0.012,0.237
7,,0.326,1.653,0.01,0.259
8,,0.296,1.61,0.006,0.233
9,,0.323,1.622,0.016,0.263
10,,0.323,1.665,0.01,0.252
11,,0.32,1.681,0.019,0.249
12,,0.317,1.696,0.014,0.252
13,,0.333,1.735,0.014,0.256
14,,0.364,1.75,0.026,0.289
15,,0.36,1.768,0.015,0.286
16,,0.354,1.797,0.018,0.279
17,,0.376,1.829,0.012,0.287
18,,0.37,1.831,0.012,0.287
19,,0.423,1.83,0.013,0.334
20,,0.388,1.878,0.019,0.297
21,,0.442,1.942,0.013,0.341
22,,0.386,1.987,0.021,0.291
23,,0.402,1.942,0.017,0.302
24,,0.422,2.005,0.017,0.316
25,0.289,0.467,2.014,0.018,0.35
26,,0.44,2.021,0.016,0.33
27,,0.446,2.025,0.01,0.33
28,,0.431,2.105,0.016,0.323
29,,0.458,2.096,0.017,0.347
30,,0.414,2.103,0.013,0.297
31,,0.416,2.088,0.009,0.31
32,,0.436,2.116,0.024,0.327
33,,0.429,2.137,0.012,0.321
34,,0.462,2.122,0.015,0.348
35,,0.464,2.132,0.011,0.35
36,,0.46,2.173,0.013,0.34
37,,0.484,2.2,0.018,0.364
38,,0.461,2.213,0.016,0.342
39,,0.412,2.249,0.015,0.308
40,,0.464,2.258,0.017,0.35
41,,0.469,2.283,0.014,0.356
42,,0.513,2.258,0.01,0.393
43,,0.463,2.337,0.023,0.349
44,,0.513,2.321,0.013,0.389
45,,0.476,2.351,0.014,0.362
46,,0.507,2.409,0.022,0.381
47,,0.456,2.39,0.016,0.341
48,,0.41,2.412,0.012,0.299
49,,0.456,2.422,0.016,0.336
50,0.298,0.466,2.534,0.018,0.348
51,,0.515,2.459,0.014,0.391
52,,0.531,2.503,0.018,0.403
53,,0.451,2.61,0.023,0.338
54,,0.494,2.528,0.023,0.375
55,,0.517,2.515,0.015,0.391
56,,0.457,2.69,0.023,0.33
57,,0.493,2.629,0.02,0.366
58,,0.534,2.556,0.015,0.409
59,,0.484,2.619,0.016,0.36
60,,0.458,2.656,0.015,0.336
61,,0.511,2.545,0.018,0.38
62,,0.531,2.637,0.027,0.398
63,,0.491,2.647,0.016,0.362
64,,0.457,2.691,0.015,0.336
65,,0.558,2.63,0.014,0.435
66,,0.526,2.582,0.016,0.391
67,,0.451,2.77,0.016,0.332
68,,0.491,2.745,0.017,0.356
69,,0.548,2.636,0.015,0.417
70,,0.493,2.695,0.019,0.369
71,,0.537,2.662,0.022,0.406
72,,0.518,2.68,0.018,0.396
73,,0.508,2.647,0.012,0.379
74,,0.508,2.684,0.016,0.38
75,0.334,0.512,2.701,0.015,0.385
76,,0.541,2.629,0.009,0.404
77,,0.481,2.715,0.01,0.359
78,,0.506,2.684,0.01,0.377
79,,0.514,2.683,0.013,0.391
80,,0.45,2.641,0.016,0.324
81,,0.518,2.63,0.018,0.389
82,,0.592,2.571,0.013,0.448
83,,0.508,2.658,0.013,0.375
84,,0.477,2.595,0.016,0.352
85,,0.528,2.732,0.011,0.391
86,,0.487,2.667,0.011,0.364
87,,0.48,2.707,0.016,0.352
88,,0.54,2.639,0.009,0.405
89,,0.504,2.7,0.014,0.373
90,,0.526,2.714,0.013,0.394
91,,0.49,2.741,0.017,0.37
92,,0.504,2.734,0.016,0.375
93,,0.545,2.792,0.012,0.41
94,,0.466,2.857,0.017,0.337
95,,0.532,2.887,0.016,0.405
96,,0.502,2.829,0.014,0.367
97,,0.595,2.703,0.014,0.456
98,,0.47,2.844,0.014,0.336
99,,0.547,2.862,0.013,0.411
100,0.33,0.525,2.848,0.014,0.391
101,,0.508,2.823,0.013,0.37
102,,0.515,2.92,0.014,0.384
103,,0.493,2.835,0.014,0.362
104,,0.536,2.763,0.015,0.406
105,,0.515,2.843,0.011,0.388
106,,0.497,2.728,0.013,0.37
107,,0.531,2.754,0.01,0.399
108,,0.56,2.783,0.017,0.422
109,,0.564,2.721,0.012,0.43
110,,0.508,2.714,0.014,0.38
111,,0.523,2.741,0.013,0.384
112,,0.556,2.725,0.009,0.42
113,,0.525,2.751,0.012,0.38
114,,0.457,2.798,0.01,0.331
115,,0.513,2.721,0.018,0.385
116,,0.507,2.778,0.013,0.38
117,,0.54,2.73,0.012,0.402
118,,0.511,2.778,0.015,0.39
119,,0.513,2.778,0.015,0.384
120,,0.523,2.771,0.013,0.384
121,,0.502,2.854,0.018,0.377
122,,0.477,2.776,0.011,0.349
123,,0.521,2.813,0.02,0.397
124,,0.485,2.745,0.012,0.356
125,0.341,0.495,2.753,0.013,0.364
126,,0.508,2.753,0.013,0.38
127,,0.541,2.742,0.015,0.405
128,,0.561,2.595,0.013,0.424
129,,0.506,2.823,0.02,0.377
130,,0.613,2.682,0.013,0.478
131,,0.55,2.7,0.017,0.416
132,,0.514,2.723,0.015,0.385
133,,0.569,2.721,0.017,0.425
134,,0.551,2.675,0.012,0.414
135,,0.491,2.808,0.017,0.363
136,,0.559,2.739,0.016,0.428
137,,0.49,2.8,0.016,0.355
138,,0.52,2.747,0.014,0.381
139,,0.527,2.645,0.014,0.391
140,,0.502,2.742,0.014,0.373
141,,0.588,2.68,0.014,0.45
142,,0.547,2.68,0.014,0.409
143,,0.609,2.678,0.015,0.462
144,,0.522,2.654,0.015,0.388
145,,0.572,2.649,0.01,0.428
146,,0.513,2.752,0.016,0.378
147,,0.582,2.684,0.012,0.446
148,,0.543,2.669,0.014,0.405
149,,0.536,2.641,0.011,0.405
150,0.349,0.603,2.684,0.01,0.457
151,,0.532,2.635,0.016,0.401
152,,0.485,2.691,0.012,0.359
153,,0.576,2.713,0.01,0.443
154,,0.558,2.766,0.016,0.413
155,,0.535,2.771,0.012,0.406
156,,0.556,2.775,0.008,0.421
157,,0.597,2.771,0.008,0.455
158,,0.588,2.701,0.013,0.446
159,,0.493,2.77,0.009,0.358
160,,0.471,2.87,0.014,0.35
161,,0.568,2.8,0.013,0.43
162,,0.529,2.811,0.009,0.398
163,,0.557,2.796,0.013,0.416
164,,0.554,2.759,0.009,0.412
165,,0.569,2.738,0.011,0.432
166,,0.506,2.859,0.012,0.38
167,,0.542,2.806,0.011,0.399
168,,0.543,2.827,0.014,0.407
169,,0.566,2.781,0.008,0.426
170,,0.563,2.826,0.012,0.412
171,,0.543,2.787,0.011,0.412
172,,0.512,2.784,0.008,0.39
173,,0.54,2.743,0.008,0.409
174,,0.538,2.795,0.01,0.404
175,0.347,0.541,2.78,0.012,0.402
176,,0.489,2.777,0.013,0.356
177,,0.539,2.839,0.01,0.399
178,,0.507,2.852,0.009,0.376
179,,0.558,2.849,0.01,0.416
180,,0.507,2.804,0.01,0.38
181,,0.611,2.837,0.009,0.466
182,,0.511,2.875,0.011,0.381
183,,0.536,2.864,0.017,0.405
184,,0.592,2.802,0.013,0.447
185,,0.533,2.859,0.008,0.4
186,,0.565,2.769,0.007,0.43
187,,0.548,2.784,0.007,0.414
188,,0.558,2.797,0.01,0.419
189,,0.556,2.759,0.009,0.417
190,,0.608,2.82,0.008,0.46
191,,0.586,2.724,0.008,0.441
192,,0.507,2.827,0.01,0.376
193,,0.55,2.772,0.01,0.413
194,,0.543,2.691,0.009,0.407
195,,0.553,2.741,0.011,0.426
196,,0.554,2.671,0.008,0.423
197,,0.567,2.68,0.012,0.435
198,,0.563,2.62,0.008,0.429
199,,0.551,2.605,0.008,0.415
200,0.337,0.5,2.598,0.006,0.364
201,,0.561,2.608,0.01,0.423
202,,0.489,2.588,0.008,0.36
203,,0.507,2.646,0.009,0.37
204,,0.537,2.57,0.008,0.396
205,,0.521,2.578,0.014,0.395
206,,0.591,2.529,0.008,0.449
