step,val_macro_em,reward_mean,avg_turns,clip_ratio,success_rate
166,,0.518,3.91,0.027,0.389
167,,0.544,3.702,0.027,0.397
168,,0.554,3.913,0.035,0.414
169,,0.547,3.833,0.032,0.408
170,,0.569,3.626,0.029,0.422
171,,0.558,3.834,0.035,0.424
172,,0.508,3.912,0.031,0.377
173,,0.55,3.696,0.029,0.415
174,,0.54,3.761,0.029,0.4
175,0.345,0.522,3.653,0.031,0.383
176,,0.487,3.705,0.024,0.349
177,,0.523,3.647,0.021,0.381
178,,0.526,3.604,0.018,0.388
179,,0.554,3.765,0.028,0.408
180,,0.51,3.659,0.022,0.377
181,,0.619,3.625,0.028,0.47
182,,0.505,3.672,0.026,0.373
183,,0.532,3.744,0.034,0.397
184,,0.611,3.659,0.027,0.461
185,,0.539,3.905,0.034,0.399
186,,0.567,3.698,0.024,0.43
187,,0.557,3.889,0.031,0.418
188,,0.56,3.828,0.036,0.418
189,,0.549,3.812,0.03,0.405
190,,0.615,3.926,0.026,0.465
191,,0.595,3.856,0.028,0.447
192,,0.521,3.848,0.027,0.387
193,,0.554,3.677,0.021,0.415
194,,0.55,3.791,0.027,0.408
195,,0.551,3.874,0.021,0.42
196,,0.546,3.903,0.02,0.411
197,,0.572,3.783,0.033,0.438
198,,0.578,3.87,0.023,0.439
199,,0.53,3.695,0.023,0.388
200,0.362,0.501,3.551,0.021,0.362
201,,0.548,3.516,0.022,0.405
202,,0.479,3.713,0.028,0.343
203,,0.517,3.791,0.028,0.373
204,,0.557,3.654,0.019,0.41
205,,0.53,3.806,0.031,0.4
206,,0.612,3.677,0.025,0.464
207,,0.505,3.884,0.033,0.371
208,,0.567,3.513,0.029,0.423
209,,0.603,3.764,0.027,0.455
210,,0.53,3.749,0.032,0.398
211,,0.529,3.787,0.034,0.399
212,,0.581,3.441,0.024,0.436
213,,0.59,3.472,0.031,0.445
214,,0.553,3.629,0.033,0.416
215,,0.545,3.269,0.024,0.406
216,,0.512,3.325,0.026,0.371
217,,0.537,3.345,0.027,0.388
218,,0.586,3.573,0.033,0.448
219,,0.565,3.481,0.029,0.42
220,,0.503,3.638,0.038,0.373
221,,0.565,3.782,0.035,0.42
222,,0.548,3.741,0.039,0.418
223,,0.588,3.805,0.036,0.438
224,,0.55,3.766,0.035,0.409
225,0.356,0.58,4.043,0.038,0.443
226,,0.515,3.986,0.035,0.374
227,,0.545,3.881,0.033,0.401
228,,0.539,3.764,0.029,0.396
229,,0.576,3.837,0.041,0.433
230,,0.604,3.504,0.027,0.461
231,,0.581,3.44,0.024,0.445
232,,0.603,3.595,0.026,0.463
233,,0.498,3.484,0.031,0.367
234,,0.609,3.276,0.024,0.473
235,,0.528,3.208,0.027,0.398
236,,0.558,3.292,0.034,0.411
237,,0.602,3.273,0.041,0.464
238,,0.571,3.202,0.036,0.434
239,,0.547,3.328,0.025,0.413
240,,0.581,3.191,0.028,0.439
241,,0.535,3.223,0.023,0.4
242,,0.583,3.157,0.03,0.438
243,,0.601,3.152,0.029,0.46
244,,0.478,3.319,0.037,0.354
245,,0.573,3.13,0.019,0.431
246,,0.572,3.138,0.028,0.434
247,,0.542,3.143,0.022,0.411
248,,0.541,3.269,0.034,0.397
249,,0.51,3.209,0.024,0.388
250,0.36,0.568,3.112,0.023,0.426
251,,0.626,3.097,0.029,0.481
252,,0.574,3.292,0.031,0.439
253,,0.608,3.241,0.033,0.467
254,,0.533,3.273,0.038,0.392
255,,0.585,3.309,0.035,0.444
256,,0.545,3.114,0.023,0.41
257,,0.564,3.383,0.029,0.429
258,,0.534,3.22,0.028,0.396
259,,0.628,3.247,0.024,0.481
260,,0.53,3.298,0.029,0.399
261,,0.605,3.188,0.032,0.463
262,,0.6,3.434,0.031,0.458
263,,0.556,3.387,0.034,0.412
264,,0.538,3.663,0.038,0.406
265,,0.535,3.554,0.031,0.406
266,,0.515,3.493,0.032,0.38
267,,0.604,3.294,0.035,0.459
268,,0.584,3.463,0.019,0.443
269,,0.57,3.41,0.024,0.436
270,,0.546,3.438,0.022,0.413
271,,0.603,3.432,0.025,0.458
272,,0.523,3.505,0.028,0.386
273,,0.545,3.646,0.037,0.409
274,,0.584,3.349,0.021,0.446
275,0.357,0.542,3.372,0.033,0.408
276,,0.59,3.113,0.021,0.443
277,,0.574,3.259,0.028,0.44
278,,0.545,3.451,0.029,0.416
279,,0.543,3.644,0.034,0.408
280,,0.526,3.445,0.032,0.392
281,,0.612,3.524,0.034,0.468
282,,0.584,3.612,0.027,0.441
283,,0.613,3.632,0.03,0.474
284,,0.594,3.612,0.033,0.452
285,,0.6,3.588,0.025,0.459
286,,0.613,3.599,0.027,0.46
287,,0.569,3.819,0.032,0.428
288,,0.559,3.678,0.031,0.424
289,,0.534,3.718,0.037,0.403
290,,0.501,3.418,0.023,0.37
291,,0.576,3.373,0.025,0.433
292,,0.58,3.324,0.03,0.437
293,,0.619,3.102,0.025,0.48
294,,0.599,2.897,0.023,0.46
295,,0.601,3.007,0.02,0.456
296,,0.537,3.17,0.029,0.404
297,,0.545,2.96,0.021,0.407
298,,0.53,3.009,0.021,0.4
299,,0.63,2.82,0.022,0.478
300,0.362,0.556,2.946,0.031,0.424
301,,0.597,2.897,0.018,0.458
302,,0.515,2.985,0.025,0.388
303,,0.56,2.994,0.028,0.428
304,,0.58,2.859,0.023,0.44
305,,0.559,2.895,0.026,0.423
306,,0.548,3.069,0.023,0.416
307,,0.582,3.045,0.03,0.445
308,,0.553,2.925,0.028,0.421
309,,0.553,2.969,0.036,0.416
310,,0.561,2.965,0.033,0.428
311,,0.518,2.835,0.032,0.391
312,,0.532,2.833,0.027,0.399
313,,0.529,2.966,0.032,0.397
314,,0.535,2.963,0.039,0.398
315,,0.576,2.938,0.046,0.434
316,,0.583,2.934,0.04,0.444
317,,0.574,2.991,0.038,0.433
318,,0.558,3.089,0.037,0.418
319,,0.609,3.067,0.038,0.465
320,,0.578,3.176,0.036,0.439
321,,0.615,3.105,0.031,0.478
322,,0.528,3.007,0.034,0.388
323,,0.538,3.218,0.045,0.402
324,,0.567,3.202,0.057,0.434
325,0.36,0.504,3.027,0.046,0.376
326,,0.56,3.077,0.046,0.422
327,,0.538,3.254,0.043,0.405
328,,0.558,3.084,0.033,0.43
329,,0.598,2.996,0.041,0.465
330,,0.585,3.154,0.049,0.441
331,,0.556,3.068,0.036,0.42
332,,0.597,3.195,0.042,0.457
333,,0.52,3.203,0.049,0.389
334,,0.525,3.301,0.033,0.385
335,,0.611,3.287,0.039,0.472
336,,0.534,3.404,0.03,0.404
337,,0.525,3.346,0.034,0.395
338,,0.561,3.333,0.04,0.42
339,,0.571,3.277,0.041,0.438
340,,0.553,3.162,0.036,0.422
341,,0.56,3.227,0.034,0.42
342,,0.561,3.317,0.042,0.426
343,,0.565,3.316,0.042,0.429
344,,0.59,3.166,0.033,0.448
345,,0.558,3.184,0.031,0.423
346,,0.556,3.271,0.061,0.422
347,,0.593,3.186,0.045,0.448
348,,0.555,3.151,0.051,0.42
349,,0.52,3.275,0.049,0.39
350,0.359,0.601,3.094,0.041,0.458
351,,0.534,3.185,0.04,0.406
352,,0.593,3.292,0.049,0.455
353,,0.524,2.962,0.041,0.388
354,,0.543,3.112,0.043,0.404
355,,0.59,3.177,0.044,0.447
356,,0.551,3.202,0.051,0.416
357,,0.572,3.106,0.053,0.436
358,,0.564,3.082,0.056,0.427
359,,0.62,2.934,0.053,0.48
360,,0.613,2.963,0.05,0.468
361,,0.563,3.152,0.053,0.431
362,,0.539,3.021,0.066,0.414
363,,0.594,3.055,0.05,0.455
364,,0.568,2.959,0.051,0.432
365,,0.553,3.063,0.046,0.417
366,,0.512,2.971,0.045,0.384
367,,0.564,2.908,0.046,0.423
368,,0.541,3.025,0.042,0.401
369,,0.56,3.158,0.052,0.422
370,,0.535,3.255,0.054,0.399
371,,0.501,3.152,0.061,0.373
372,,0.575,3.112,0.053,0.441
373,,0.539,3.141,0.055,0.403
374,,0.523,3.116,0.061,0.392
375,0.362,0.533,2.997,0.047,0.398
376,,0.524,2.952,0.057,0.394
377,,0.599,3.072,0.058,0.464
378,,0.557,2.941,0.058,0.425
379,,0.487,3.165,0.071,0.359
380,,0.59,3.227,0.075,0.465
381,,0.559,3.047,0.069,0.424
382,,0.558,3.11,0.087,0.428
383,,0.548,3.159,0.091,0.412
384,,0.504,3.131,0.079,0.384
385,,0.62,3.041,0.088,0.473
386,,0.512,3.143,0.09,0.38
387,,0.561,3.141,0.103,0.424
388,,0.57,3.037,0.078,0.43
389,,0.535,3.14,0.086,0.395
390,,0.613,3.064,0.08,0.475
391,,0.596,3.073,0.083,0.465
392,,0.525,3.265,0.097,0.398
393,,0.558,3.086,0.077,0.417
394,,0.569,3.195,0.087,0.437
395,,0.504,3.33,0.083,0.382
396,,0.537,3.099,0.08,0.399
397,,0.505,3.282,0.086,0.368
398,,0.543,3.189,0.09,0.411
399,,0.533,3.205,0.104,0.398
400,0.329,0.546,3.101,0.098,0.424
401,,0.509,3.212,0.111,0.375
402,,0.564,3.255,0.112,0.425
403,,0.557,3.184,0.107,0.425
404,,0.581,3.081,0.1,0.44
405,,0.608,3.145,0.113,0.463
406,,0.501,3.391,0.12,0.367
407,,0.608,3.213,0.129,0.463
408,,0.545,3.224,0.135,0.416
409,,0.48,3.439,0.161,0.352
410,,0.591,3.207,0.132,0.456
411,,0.624,3.191,0.124,0.477
412,,0.585,3.153,0.12,0.455
